"","Adipocytes","Astrocytes","B_cells.Class.switched_memory","B_cells.Memory","Chondrocytes","CLP","CMP","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","GMP","HSC","Keratinocytes","Macrophages","Macrophages.M1","Macrophages.M2","Megakaryocytes","Melanocytes","MEP","Mesangial_cells","Monocytes","MPP","mv_Endothelial_cells","Myocytes","naive_B_cells","Neurons","Neutrophils","NK_cells","Pericytes","Plasma_cells","Preadipocytes","Skeletal_muscle","Smooth_muscle_cells","T_cells.CD4.","T_cells.CD4._central_memory","T_cells.CD4._effector_memory","T_cells.CD8.","T_cells.CD8._Central_memory","T_cells.CD8._effector_memory","T_cells.Tregs"
"142","ADM","PTK7","MEF2C","TLR10","ID3","TYMS","HIST1H2AI","PPP1R16B","F2R","SLC43A2","ITGB5","CDC45","RMRP","HPRT1","CD200","PSAT1","CAPG","CD83","EGR2","ST8SIA6","ABCC2","ICAM3","DCDC2","SNORA61","ARHGAP15","FAM129B","TIMP1","BTK","REEP1","CXCL1","KLRC2","RMRP","IFI30","ABCA6","SCARNA2","OLFML3","SATB1","THEMIS","TBC1D10C","TBC1D10C","LCP1","GPR56","RASGRP2"
"143","SAA2","SCARA3","RASGRP2","PLD4","RMRP","LRRC70","HCST","ITGAX","CLU","SIRPB2","GDF15","ARHGAP15","AMOTL2","LSP1","NCF4","AJUBA","CSF1R","MMP14","SNORD17","ACRBP","PAG1","BIN2","TNC","LCP2","ZBTB16","SCARNA2","SCARNA13","CD37","GABRB2","SNORD17","STAT4","JUP","RHOH","SCARNA5","ANK1","SCARNA12","GMFG","SORL1","ACAP1","ACAP1","SEPT1","ITGB2","TNFRSF25"
"144","CLEC3B","HOXB2","P2RY10","SCARNA2","HTRA1","SYK","HIST2H3C","G0S2","PLOD2","AKNA","RAI14","PLEK","TUBB6","CD48","SOCS2","FAM83H","SEP15","SCD","LGALS9","STOM","C10ORF90","NRD1","HIST1H4D","HLA-DMB","TCF7L2","ARHGAP29","AMOTL2","IGJ","YWHAH","HSPA6","LCP1","SCARNA13","P2RX5","RAI14","CEBPD","VEGFA","SMEK1","INPP4B","ITGB2","TMC8","SNORA69","SYNE2","SCARNA2"
"145","RNASE4","PLK2","CD69","CD37","SCARNA7","BCAT1","FAM46A","SNORD17","COL18A1","IDO1","CDKN1A","ACAT2","SCARNA13","HMGB3","MMRN1","ZBED2","FCGR2A","MATK","CD9","UTP11L","INPP4B","DANCR","SCARNA10","RNU12","SPP1","MPZL2","IGFBP4","ADAM28","ARHGAP26","ITGB2","SCARNA10","ACTG2","IGFLR1","TPM2","CFD","PCOLCE2","BIN2","LCP1","S100A4","PTPRCAP","TBC1D10C","HOPX","HLA-F"
"146","PMP22","DHRS3","HLA-DOA","NCF1","ANGPTL5","MGST1","HIST2H3A","LGALS9","KCTD12","MXD1","FHL2","FCER1G","PLS3","FABP5","B3GNT5","GJB6","SNORA71D","IL18","AGPAT9","ABCC3","KCNAB2","PNMT","SCD","RNU4ATAC","ELMO1","TNFSF18","EPS8","PPAPDC1B","MAP7D2","CREB5","SLAMF7","TRPA1","PHGDH","ADAM33","IL6R","SCARNA7","IL16","ITGB2","LCP1","TXK","SNORA36A","TIGIT","F5"
"147","ERRFI1","SLC14A1","KYNU","ITGB7","CHI3L2","ELANE","RAB32","IER3","SCARNA13","SCARNA10","PFN2","LBH","PTK7","BIN2","EIF1AY","PHLDA1","NCKAP1L","MT1E","ITGA3","LCN2","SCARNA13","ACAP1","SCARNA13","PECAM1","GBP4","SPHK1","LTBP2","SPIB","RPS4Y1","SLC25A37","GIMAP7","HIST1H3F","CHST15","RND3","RPPH1","CLMP","SNORA75","SLC40A1","HMHA1","ARG1","TRAF3IP3","EOMES","SIT1"
"148","PTGER3","RMRP","CD37","SYK","DST","CRYGD","HIST1H1B","ST8SIA4","DLL4","RNASE2","HIST1H2BL","EXOSC8","MFAP4","CASP6","HCLS1","DSG3","CST3","CSTA","ATP1B1","BCAT1","MYO1B","PECAM1","AEBP1","SCARNA10","CKS2","HIST1H4I","CRIM1","RMRP","CISD1","PYGL","MYO1F","FAT1","CKAP4","ADH1B","LAMB2","ADH1B","RMRP","KLF2","TNFAIP3","CD53","LEF1","PRKCH","CORO1A"
"149","COL1A2","SCARNA2","CD53","PKIG","BARX1","CYTL1","P2RX1","SLC41A2","EFNA1","METRNL","SCARNA7","ASF1A","TIMP3","SRPR","PPAPDC1B","RAB38","MATK","CTSS","GPR34","TEC","HIST1H3E","PHGDH","KANK2","LSP1","ASB9","HIST1H2AH","TNNI1","TAGAP","SLC25A4","EPHB1","CMC1","FGF7","PARVG","LAMB2","APOBEC2","PPP1R3C","SCARNA13","SNORA36C","CYTIP","PRKCH","ETS1","NELL2","HIST1H3B"
"150","FCER1G","HIST1H3B","SP140","SCARNA10","NME2","SORL1","SCARNA13","BCL2L11","SEMA6B","PLCG2","CST3","CENPM","ITGB5","EMR2","NUCB2","RMRP","CD84","SNORA60","PTPN6","BUB1","HIST2H4A","PARVG","HIST2H3D","TMEM176B","ADAM28","FADS3","CHRNA1","HLA-DPB1","NDUFAF4","BASP1","HLA-F","IGFBP7","CYTH4","SCARNA12","RMRP","ADM","APBB1","GMFG","GMFG","CHI3L2","TIGIT","TGFBR3","SYNE2"
"151","HBB","LOX","VPREB3","HLA-DMA","CFH","MILR1","CLEC11A","SCARNA22","SCARNA5","TMC8","HIST1H4B","RHD","CYBRD1","FCER1G","GSTM3","SNORD17","CTSD","RNU4ATAC","PLXNC1","KIAA0125","BCL2A1","CCDC23","ITGB5","CYTIP","SPARC","CTTN","SCARNA12","NCF1","SORL1","FAM157B","MLC1","NQO1","BTG2","IGFBP4","CST3","CKAP4","PIK3IP1","BIRC3","TC2N","RMRP","HMHA1","SH2D1A","ACAP1"
"152","RHOB","PPP1R3C","ACP5","TBC1D10C","KANK2","PMAIP1","SNORA63","PPARG","MFNG","RHOH","SCARNA10","SLC43A3","SERPING1","NME1-NME2","FCER1G","SCARNA7","PLAUR","SNORA79","CA2","EAF2","SCARB1","LST1","NKAIN4","SCARNA3","SLC40A1","FBLIM1","PLS3","EAF2","KALRN","SCARNA10","EOMES","SCARNA12","PRDX4","PHLDB1","SCARNA7","SCD","TCEA3","PRKCH","BCL11B","LCP1","SYNE2","SEPT1","LCP1"
"153","ITGB2","MXRA7","HLA-DMA","SLC15A3","CLIC4","ICA1","PRG2","SNORA20","FAM213A","CXCR4","DMKN","NUP62CL","SCARNA7","PYGL","HLA-DOA","SCARNA10","FCGR1A","NCEH1","SCARNA10","SLMO2","TYMP","ICAM2","SCARNA7","DUSP2","SPINT2","MFNG","MYLPF","CD48","RGS16","ARG1","IGFBP7","YAP1","WFS1","HIST2H2BF","KIAA1217","SEMA3C","ITM2A","CD96","SCARNA7","AZU1","SCARNA7","TBX21","ITGB2"
"154","CALCRL","SCARNA7","TBC1D10C","HLA-DQA2","FHL1","SNHG15","RMRP","N4BP2L1","ESAM","FES","EPS8L2","HMGB3","SCARNA12","CD82","RSL1D1","HIST1H3F","LAIR1","PIK3AP1","TBC1D10C","CD37","CDH1","LMO2","BCAR1","TLR4","MFNG","MT1E","TNFRSF11B","LY9","BCL11A","GMFG","CD2","FLT1","PDIA5","DHCR24","ALPK3","SLC14A1","CCDC141","KRT1","SCARNA13","RASGRP2","SCARNA13","LCP1","GMFG"
"155","GLUL","CST3","HLA-F","CD53","PDE1A","CD82","FUT4","SNORA71D","FLT4","PTPN6","EHF","FECH","TMEM119","IL3RA","FXYD5","CKMT1B","LGMN","TNFAIP6","SPARC","DAB2","ACP5","ATF7IP2","IGFBP6","CXCR4","MEG3","CALD1","RMRP","TSPAN13","MEF2C","LAPTM5","CHST2","HIST1H4L","ACAP1","CALD1","DEPTOR","PXDN","GPRASP1","SCARNA7","OSM","ARHGAP15","SH2D1A","PRR5L","SCARNA7"
"156","CKB","PFN2","TERC","BTK","SCARNA10","AMICA1","GMFG","ARAP2","RMRP","PADI4","VEGFA","ARHGDIB","TM4SF1","SLC29A1","SNHG15","UPP1","RASSF4","CYP1B1","RMRP","KLHDC8B","RAB32","HCLS1","MT2A","F13A1","SPN","PPP1R16B","TNNC1","E2F5","IQCK","FGL2","BZRAP1","CRIM1","HCLS1","CD276","ZBTB16","RBFOX2","CD7","SCARNA13","GZMM","CORO1A","SLAMF7","MIAT","RORA"
"157","RPL36A-HNRNPH2","TXNDC5","BTK","TNFRSF13B","POSTN","HLA-DMB","CLC","CREG1","DOCK4","HLA-F","SCARNA12","MYEOV2","SCARNA5","C9ORF89","CD48","SORL1","PECAM1","HCST","DAB2","KCNE3","SCARNA5","MYB","THBS1","RMRP","HMGB3","DBN1","SRGN","SCARNA10","SUSD4","LSP1","DOK2","SCARNA7","PDIA4","COL4A1","NME2","CD9","GIMAP6","PLAC8","CORO1A","HMHA1","HOPX","RORA","SNORA5B"
"158","TGFBR3","IER3","BIRC3","AFF3","SCARNA5","BIN2","SERPINB1","NCKAP1L","PLSCR4","LCP1","KRT6A","KIF20A","CTHRC1","ARHGAP9","C1ORF162","ANGPTL4","ITGAM","LSP1","MATK","LST1","FAT1","FAM195B","CRIM1","TBXAS1","JAK3","BMP6","ADAMTS1","PKIG","CTTNBP2","IFITM2","SPN","PLS3","QPCTL","SCARNA7","SLC47A1","HEPH","PRKCQ","RPPH1","SYNE2","LAPTM5","S1PR5","SCARNA2","S100A4"
"159","SVEP1","CAV1","EAF2","ADAM28","LHFPL2","GLIPR1","RASGRP2","MARCKS","SCARNA7","GMFG","SPTBN2","KIF23","MYLK","TCF4","GPR56","ADAM8","CD48","FCGR1A","SNORA71D","PDE5A","SEMA3C","SLMO2","FBN1","IRF8","CXCR4","GMFG","SCARNA7","KIAA0125","EBF1","SNORA6","PTGDR","DPP4","TRIB1","FKBP9","FKBP5","MEG3","AMICA1","S1PR1","RPPH1","RNU4ATAC","TPRG1","SYTL2","SNORA36C"
"160","IL1R1","ID3","COL4A3","HLA-F","MXRA5","GUCY1A3","RFX8","FADS2","RASGRP3","NBEAL2","LAMA5","S100A4","TMEM98","IKZF1","GSTM2","COL12A1","CPM","SLC7A7","PLXDC2","PTPN6","PYGL","SLC29A1","IL32","CEBPD","FAM213A","HIST1H3J","TNNT2","CD53","SULF2","PLEK","BIN2","S100A16","TBC1D10C","LSP1","CAPN3","SCARNA10","SCARNA7","SYNE2","DPP4","SCARNA7","DDX3Y","HMHA1","CYTIP"
"161","SCARNA13","PHLDA3","BLNK","AIM2","LOXL3","LSP1","PTPRC","CTSH","SCARNA10","LAPTM5","TAGLN","KPNA2","LGALS3","MDK","SLMO2","TPBG","TBXAS1","SNORA14A","SLAMF7","ARHGAP18","GDF15","BLVRB","AMOTL2","HLA-DQA1","GSTM2","LMNA","PRUNE2","COBLL1","SNX10","TMEM71","CD69","HIST1H4F","GNG7","MGST1","MLIP","PDE5A","UTY","MYOM2","PI16","GMFG","PRKCH","HCST","LSP1"
"162","ALDH1L1","CFI","TMEM156","C1ORF186","NREP","MYB","IRAK3","SDC2","HIST1H4D","SCARNA6","HIST1H4F","IL2RG","MXRA7","PMAIP1","SYK","PHGDH","DAB2","CA2","MYEOV2","PRTFDC1","PLS3","CCDC101","CRIP2","KLF4","RPL3","HIST1H2AJ","CFH","RAB30","GABBR1","CXCR4","CD97","SCARNA10","LAX1","SCARNA10","ATP1B1","YAP1","DOCK9","CD7","CFH","SCARNA13","CORO1A","ETS1","FAM46C"
"163","NME2","PTMS","SEMA4B","CD27","UGDH","SRPR","SCARNA6","SCARNA10","MYH10","GMIP","CLDN1","C4ORF27","OLFML3","NPR3","CD82","TERC","C3AR1","LAPTM5","SCARNA7","MCTP1","MBP","TSPAN32","SCARNA12","SCARNA7","ITGB2","CRIP2","SFRP4","LAPTM5","CEP76","PLXNC1","SYTL2","HIST1H3C","FBXO16","MXRA7","BAG3","SNORA23","SNORA78","JUNB","MYO1G","THEMIS","P2RY8","ACAP1","LBH"
"164","ZBTB16","FLNC","FCGR2B","PTPRC","BICC1","GBP4","HBA1","SCD","PIEZO2","PYGL","YES1","FAM46C","IGFBP5","CD200","TCF4","HIST1H3E","SYK","TNS3","PIK3AP1","CEP41","FKBP9","LAPTM4B","HIST1H4J","GMFG","NRD1","TUBB3","ITGA3","SP140","NDUFA3","CHST15","TTC38","PRRX1","DDX3Y","EPB41L3","AMOTL1","PRKCDBP","FAM153A","CORO1A","RNU12","BCL11B","ACAP1","IKZF3","FANK1"
"165","RMRP","CDKN2A","SCARNA13","IL10RA","GPNMB","DOCK2","CORO1A","SELT","ERG","GSN","LMNA","MELK","ADH1B","CDCA7L","SKAP1","HIST1H4B","CCL3","CTSZ","CTSB","SPTA1","SCARNA10","CIRH1A","LAMC2","STX11","HOXA9","RMRP","CYBRD1","TCL6","C14ORF1","SNORD8","PRSS23","TUBB6","EGR1","MYO1E","LMOD2","TIMP3","ABLIM1","LAPTM5","LMNA","LRRN3","GMFG","LAT","LAPTM5"
"166","PRG4","COL18A1","PTPRC","TERC","LAMB2","FABP5","SCARNA7","SNORA84","SNCA","FHL3","COL18A1","CIRH1A","PTGS1","OCIAD2","TSTD1","MT1X","SGK1","ICAM1","GMFG","ITM2A","ITM2A","NR4A1","CTTN","IGSF6","SOCS2","SCARNA7","NRP1","P2RY10","CACNB4","CTSS","CD52","BCAT1","CD52","COLEC12","MAPK12","LGALS1","GIMAP2","RHOH","BIN2","HP","SELPLG","SLAMF7","MYO1G"
"167","FBLN2","FGG","CLECL1","SEMA4B","ASS1","APOBEC3C","LYL1","TBC1D4","MARCKS","RMRP","SPARC","NFIA","CLIC4","PTPN7","ZFP36L2","SDC4","FAM20C","NCF1","CST3","DHCR24","CD276","SPARC","CLDN1","SGK1","CD82","GIMAP6","MME","CD40","KITLG","SNORA5A","SNORA59A","EMILIN1","ADAM19","DST","GATSL2","PDGFRB","C1ORF228","ANK3","JUNB","PRTN3","TC2N","SCARNA7","PRKCH"
"168","MMP19","MYLK","PKIG","CRIP1","SEMA3A","RARRES3","CST3","CXCR4","CNTNAP3B","TNFRSF10C","AXL","FAH","LTBP2","RSL1D1","LAPTM4A","CKMT1A","OLR1","RMRP","CD74","C2ORF88","ETV5","TSTD1","CD151","CCL3L3","CFH","SORBS2","SNORA23","PTPRC","TSPAN13","RMRP","CD48","CKAP4","C1ORF186","RBFOX2","ANKRD9","EHD2","IFITM1","IKZF1","CD97","CD5","SCARNA12","SCARNA13","IKZF3"
"169","SCARNA7","LAPTM4B","POU2AF1","PLCG2","CSGALNACT1","MYEOV2","HIST1H4J","DAPP1","PLXND1","SNORA34","MYO1E","TTK","EFEMP2","HLA-DMB","HBA1","CDH1","RMRP","CD53","PLAUR","PPAPDC1B","HIST1H2BE","FAM213A","HIST1H2BL","SCARNA5","IQGAP2","JUP","PRKCDBP","ABCB4","CASQ2","PLAUR","TBC1D10C","GPR176","SASH3","ITGB5","RORC","LOXL1","ICOS","FMN1","PRKCH","DUSP2","RPPH1","MYO1F","ISG20"
"170","SCARNA10","GPX8","PLCG2","SCARNA13","FSCN1","IFITM2","NUCB2","DAPK1","CRIP2","ALDH3B1","GJB3","SLC25A21","GJA1","F13A1","ZNF165","COL4A2","LHFPL2","BCAT1","NR1H3","CPA3","SCARNA7","SPINT2","HIST1H2AI","ICAM1","TSPAN2","SCARNA10","WNT5A","PLEKHG1","RAB3C","ICAM3","IFITM1","MAEL","ZNF775","BCAT1","RORA","CTSK","SCARNA12","ARHGAP4","SCARNA12","HLA-F","TAGAP","RASGRP2","SCARNA13"
"171","ITIH5","CD276","CD40","CXCR5","FKBP9","DANCR","NCKAP1L","PTPRC","FRMD6","RNF166","NQO1","KLHDC8B","TIMP2","RAB13","SPARC","CST3","PTPN6","SNORA78","SNORA53","TC2N","HIST1H2BB","ELMO1","TMEM132A","MYO1G","CYTIP","SCARNA5","CLIC4","TMEM156","GOLIM4","QPCT","IL32","COL16A1","IRF7","UCHL1","MKNK2","HIST1H4D","SCARNA22","TNFRSF4","MYOM2","FCER1G","CD160","SLFN12L","ARL4C"
"172","SCARNA5","MFGE8","CRIP2","MEF2C","NRN1","CLEC2B","SCARNA15","MGLL","EMCN","FMNL1","CRB3","HPRT1","GNG12","PHACTR1","CLEC2B","DHCR24","SCARNA7","ALDH1A1","MMP19","LCP2","SCARNA12","NME1","NT5DC2","CDKN1A","SNHG15","SCARF1","CDKN1A","SCARNA13","ZNF208","ANPEP","ITGB7","TXNDC5","CXCR4","HIST1H4B","NNMT","ADAM9","SLFN5","SCARNA12","DOK2","BIN2","BCL11B","CORO1A","SLFN5"
"173","IGFBP6","TUBB6","SSPN","FCRL5","GAS6","BAALC","ARHGDIB","ALDH2","HIST1H2BB","PHOSPHO1","LAD1","CENPK","HIST1H4B","SNCA","IGF2BP2","HIST1H4F","TNFAIP2","HLA-DRA","FAIM3","LRMP","EPS8","C20ORF96","LGALS3BP","SRGN","MAP3K8","MMP14","ERRFI1","PLCG2","TMEM14A","SNORA53","SCARNA13","IL33","HLA-DPB1","YAP1","ARRDC2","PLK2","LCP1","FYB","LAPTM5","ABLIM1","TBX21","SNORA36A","BIN2"
"174","ITGA7","SPOCK1","TCF4","LAPTM5","NDUFA4L2","HMGB3","MYO1F","ID2","SCARNA12","GFI1B","TXNDC5","CYBRD1","CDKN1A","EVI2B","ATP8B4","NQO1","SNORD17","C1ORF54","CPVL","ADCY6","SERPINH1","BST2","CLDN6","TNFRSF1B","PDE4B","GIMAP5","ASS1","SCARNA2","FGF12","SCARNA5","SELPLG","FKBP9","TCIRG1","EBF2","CLTCL1","CDH6","BACH2","CTLA4","SLC40A1","RNASE2","TGFBR3","TCF7","ICOS"
"175","CALD1","MFAP4","SCARNA21","HMHA1","OMD","DPCD","PCNX","RMRP","HIST1H2BL","RASGRP2","SEMA3C","CD74","ANPEP","RNASE2","IFITM1","HIST2H3C","MYO1F","CD48","PALLD","CENPF","CCNB1","TIMM13","HIST1H4F","CFD","SLA","ITGA6","CACNA2D1","POU2AF1","ACYP2","RBM47","FCGR2C","TPM1","TNK2","ACE","GAMT","HIST1H4B","ERBB2IP","IFITM1","IFITM1","FBLN2","CMC1","TPRG1","ATP8B2"
"176","PDE3B","SULF2","TNFRSF13B","GPM6A","LMNA","NPR3","PRTN3","NFIL3","HIST1H2AB","SCARNA5","ESRP1","NCAPH","CKAP4","ANXA1","ELMO1","CYP27B1","NR1H3","SOD2","KCNE1","VAMP8","SERPINE2","TXN2","NRP1","VNN2","ICAM4","TFPI","SRPX2","LAT2","PKIB","CORO1A","SCARNA7","MICAL2","GMFG","ANLN","DUSP26","TNFRSF11B","HCLS1","TIAM1","NELL2","MAL","GIMAP6","CD7","ITM2A"
"177","EPS8","COL12A1","SCARNA12","CLECL1","PMP22","EIF1","TBXAS1","FABP5","HIST1H3F","SNORA53","DST","TFRC","SLIT3","MYB","IL18","HIST2H3A","ITGB5","SNORA53","IRF8","PLXDC2","OAS3","BTK","HIST1H2AJ","SCARNA13","MGST1","SCARNA13","HAS2","BTLA","C12ORF75","SCARNA13","SASH3","ITGA3","EIF1AY","SDC2","GLUL","GPR176","TNFAIP3","S1PR4","ITGAL","SERPINF1","CD28","RPPH1","LAIR2"
"178","GPAM","APLP1","SNX22","CD40","PLS3","TSPAN2","MGLL","SCARNA7","PRKCH","PTPRC","PVR","TUBG1","PTMS","SEPT6","GNAI1","CD276","MYO1E","IER3","LUZP6","CD68","ST3GAL4","TTTY15","RHOF","SCARNA6","FXYD5","RAPGEF5","SCARNA10","HIP1R","MEG3","LYN","SCARNA2","CDKN1A","SLC5A2","SLC38A5","BNIP3","FGL2","ITGB7","DPP4","ARHGAP4","SMEK1","S1PR4","GMFG","JAKMIP1"
"179","CD74","SAMD11","SCARNA7","SCARNA7","ADCY4","FAM213A","HIST1H4A","HLA-F","DYSF","SCARNA13","RAB25","SNRPD1","RCN1","TBXAS1","TTTY15","SEMA3F","RNASE6","LGALS9","SCARNA5","HIST1H3H","TRIB2","HOXA9","TUBB2B","LY86","SPNS3","PGF","MYL1","PHACTR1","DNAJC12","TLR8","ZBTB16","HIST1H4D","PKHD1L1","MRC2","PCBP4","CYBRD1","SKAP1","CD97","SORL1","CTSW","D4S234E","MYO1G","CXCR6"
"180","S100B","SPON2","PTPN6","PTPN6","ERG","JAK3","RAB37","TYMP","UACA","IL18R1","GIPC1","NEK2","HIST1H4D","TSPAN2","LAIR1","EPN3","GMFG","ATF3","RPPH1","SKAP2","MYO10","RPP40","TPM1","RPPH1","DANCR","ITGB5","CD36","SCARNA7","CDC42BPA","PHOSPHO1","KLRC3","MMP1","ASB2","CD248","DMD","HSPB6","RPPH1","BIN2","XIST","IFITM1","PLAC8","SPON2","HPGD"
"181","MRC1","PTGIS","HMHA1","P2RY10","GOLM1","CD96","SEP15","CST3","HIST1H4B","TMC6","GAS6","FCER1A","TXNDC5","HIAT1","PTPN7","LMNA","SLC26A11","TNFAIP2","ADRBK2","MSMO1","ST6GALNAC2","RAB13","ACTN1","DUSP6","TCF4","ARHGDIB","GPX8","GAPT","ATP6V1G2","TBXAS1","FAM65B","STRA6","MANF","SEMA3C","PADI2","LRRC17","PLXDC1","FLT3LG","CD40LG","SCARNA12","CD96","CLEC2D","RPPH1"
"182","HBA1","PLN","LAPTM5","TCF4","GDF5","CDCA7L","FES","PTGIR","SCARF1","DOCK8","PYCR1","ZWINT","DAB2","HLA-DQA1","GPSM3","ANXA2","ALDH2","TM4SF19-TCTEX1D2","SNORA10","AURKB","TUBB6","MFAP2","LSR","PLXNB2","GATA1","RASGRP3","TFPI2","ADAM19","GLRB","MBOAT2","CTBP2","SEMA3C","SPCS2","STEAP1","SCARNA10","AHNAK2","RNF157","ICOS","FLT3LG","IKZF1","SNORA22","CD27","CCR8"
"183","CFH","PHLDB1","TFEC","BIRC3","ADAM12","RAMP1","ARHGAP15","SLAMF1","FKBP10","LCP2","HIST1H4J","SPCS2","TNFRSF12A","SPINT2","BEX5","CD9","IL10RA","CD9","SELT","LRP12","SLAIN1","RAC2","SPOCK2","ETS2","RQCD1","GIMAP4","RAI14","SMEK1","CNKSR2","DOCK5","SYNE2","F2RL1","FCRLA","DBN1","SH3BGR","CALU","ITGB2","TMC8","S1PR4","CHI3L1","S1PR1","SCARNA12","RASGRP1"
"184","TUSC5","RGS5","MPEG1","ATP2A3","PRKCDBP","HPGD","RPPH1","LRRK1","APP","PSD4","RHOB","CCDC28B","SVEP1","AKR1C3","GIMAP2","HIST1H2AL","TLR4","EMP1","MYO1F","CDKN3","PTRF","TYMS","SPINT1","EPB41L3","CD79B","F2R","LTBP1","SNORA71B","MAP9","LCP2","GIMAP5","HIST1H3B","MIR1181","TRIO","COL6A3","ASS1","TTN","PLCG1","TNFRSF4","HIST1H2AK","SKAP1","PLEK","PPBP"
"185","PLTP","HTRA1","GAPT","CXXC5","CMKLR1","DICER1-AS1","PTPN6","SNORA53","CLDN11","C10ORF54","PLXNB2","EIF1","SEMA3C","SH3RF1","SERPINB1","PYGL","CHST15","SNORA2B","CAPG","PTTG1","WIPI1","PTGS1","CRB3","ZFP36","IFITM1","TNFRSF12A","ADAM9","MZB1","PCDH17","FAM129A","B3GNT7","MSC","KCNN4","ADM","CACNG1","PLEC","ACTN1","SOCS3","INPP4B","TC2N","CYTIP","FCGR3A","TRAT1"
"186","AMOTL2","MFAP2","ARHGAP15","RPPH1","FERMT2","MGLL","NREP","SELPLG","GMFG","SNORA37","PHLDA3","HAUS8","IL6ST","CD38","FAM213A","SCARNA13","PLXDC2","SLC11A1","TIMP2","TIMP1","HIST1H3B","BCAT1","TIMP2","LILRB2","CLEC2B","SCARNA12","LGALS3BP","TBC1D10C","KCTD1","HCLS1","PTGDS","KIRREL","CITED2","FAM180A","PACSIN3","ID1","ARL4C","S100A4","LSP1","CD28","PRR5L","MYOM2","SCARNA12"
"187","CYBRD1","APCDD1L","RPPH1","EAF2","MXRA7","ISG20","RNU5F-1","RNU6ATAC","NCKAP1","FAM102A","MYO5B","C11ORF74","SPOCK1","MPP1","RAB13","OCIAD2","ATF3","SLAMF8","TDRD9","SQLE","TTYH2","MEF2C","HOXA3","CSF1R","HCLS1","TCF4","CRYAB","HLA-F","MTSS1","DENND3","EFHD2","LMNA","FCRL2","S1PR3","KIF1C","CD276","BIRC3","BCL2","LPAR6","LBH","CRIP1","BCL11B","PRDM1"
"188","PECAM1","RARRES2","CD1C","SCARNA12","TPM1","UTP11L","STAB1","MBOAT2","FLT1","CD74","MAP1B","MARCH3","CLEC3B","ELMO1","ICAM3","YES1","PIK3AP1","HSD3B7","RASSF4","HMMR","ISG20","SNRPD1","AKAP12","ALDH2","PTPRCAP","HIST1H2AB","EPDR1","RPPH1","ARHGEF33","FMNL1","SH2D2A","CD248","DHRS9","HIST1H4J","HSPB3","DST","LINS","DUSP16","GPR171","SLPI","HIST1H4F","DTHD1","HAPLN3"
"189","AKR1C1","LYPD1","SEP15","SNX22","MAP1B","TKT","PLAU","SCARNA5","FLNB","RAB11FIP4","ACTN1","AKR1C1","DBN1","SPN","IRAK3","DSC3","DMXL2","FAM129B","FHL1","PTPLAD1","BCAN","CENPM","FADS2","HCLS1","CD244","HIST1H4D","LAMA2","SEMA4B","PIGP","BCL6","ARHGAP9","GAS6","DEF6","PFN2","KCNJ11","BCAT1","SEP15","DOCK9","HCLS1","S100B","ARHGAP15","COL6A2","HCLS1"
"190","SCARNA6","HIST1H4F","CORO1A","PLEKHG1","RHOBTB3","HOXA9","HIST1H2AH","FN1","CXCR4","C11ORF21","LSR","TPX2","PLEC","ADA","BCL11A","AP1M2","HCLS1","TIMP3","CHCHD10","CCNB2","SHC4","SELPLG","ID1","ANPEP","MYL6B","HIST1H2BM","MYL4","FCGR2B","ASPH","LRG1","HAVCR2","CDCP1","PTK2B","TBX3","ATOH8","SCARNA16","DPP4","CAMK4","SEP15","MGAT4A","GPR171","BIN2","SORL1"
"191","CDO1","LAMC1","PRKCB","COL4A3","HIST1H3C","IFITM1","PARVG","BASP1","PREX2","LRCH4","C1ORF106","NDC80","PLOD2","CTSS","LAPTM4B","HIST1H2AI","HMOX1","MNDA","TNFRSF21","BANK1","IFITM1","NUCB2","HTRA1","CD97","DEPTOR","FZD4","FADS3","RASGRP3","NEXN","SCARNA7","RPPH1","ADAM19","EAF2","AIM1","SMYD1","CA12","ARHGAP4","ADTRP","MB21D2","ITGB2","CD244","CYTIP","LINC00426"
"192","PPP1R14A","ITGA11","AFF3","E2F5","LIMA1","MAD2L1","HIST1H4F","CTSS","ITGA6","RASSF5","GNG12","MYH10","ID3","RARRES3","SNCA","ST6GALNAC2","SCD","ACSL1","IDH1","SLC9A9","OASL","PLTP","TNFSF10","PDE4B","BST2","NOTCH4","DNAJB4","SCARNA12","CALM2","SELPLG","ETS1","SNORA53","ITGB2","FASN","PFKM","NEDD8-MDP1","SEMA4D","NEFL","IKZF1","RPPH1","BIN2","ARHGAP4","TNFRSF1B"
"193","EPB41L3","FANCI","PNOC","CTSH","LRIG3","PDE4B","VSTM1","ADAM8","PPFIBP1","RCSD1","PHGDH","CD69","PODN","GBP4","GPR126","CDH13","SNORA71A","MGST1","S100A1","CCDC28B","PMP22","AFMID","LAMC1","HLA-DPB1","ZFP36L2","RHOB","TXNDC5","TLE1","GARNL3","SCARNA6","SIGLEC7","OLR1","PTPN7","CD36","PDE4DIP","PGM5","LRRN3","HCLS1","S1PR1","GZMK","LSP1","CD96","TIAM1"
