"","Adipocytes","Astrocytes","B_cells.Class.switched_memory","B_cells.Memory","Chondrocytes","CLP","CMP","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","GMP","HSC","Keratinocytes","Macrophages","Macrophages.M1","Macrophages.M2","Megakaryocytes","Melanocytes","MEP","Mesangial_cells","Monocytes","MPP","mv_Endothelial_cells","Myocytes","naive_B_cells","Neurons","Neutrophils","NK_cells","Pericytes","Plasma_cells","Preadipocytes","Skeletal_muscle","Smooth_muscle_cells","T_cells.CD4.","T_cells.CD4._central_memory","T_cells.CD4._effector_memory","T_cells.CD8.","T_cells.CD8._Central_memory","T_cells.CD8._effector_memory","T_cells.Tregs"
"27","CD36","MEST","BANK1","RNU11","COL6A1","HLA-DRA","SNORA52","RASSF4","ACVRL1","AMICA1","SDC1","PPBP","CAV1","VPREB1","HBG2","FXYD3","LPL","CCL22","HK3","NGFRAP1","CYSLTR2","KIAA0101","TINAGL1","TYROBP","NPR3","THBS1","RGS4","SNORA74A","ATP1B1","SNORD89","SNORD10","COL5A1","SLC17A9","PTX3","MYOZ1","GJA1","SNORA81","SNORA65","CD3D","SNORA52","SNORD97","SNORA81","SNORA11E"
"28","SPARCL1","TGFBI","SNORA37","FCRL1","FN1","HLA-DRB5","SNORA49","SNORD89","ESM1","NCF2","MAL2","NFE2","CD248","HLA-DRB5","BEX1","TNS4","STAB1","SNORA65","HSD11B1","CXCL3","MFSD12","RHOH","COL6A3","CFP","CD69","TM4SF1","TPM2","SNORA9","GNAO1","NCF2","SNORA38B","MMP3","CD19","MMP2","ANKRD2","TGFBI","RNU5E-1","SNORA10","SNORA55","SNORD22","SNORA15","GNLY","SCARNA22"
"29","C1QC","SLC12A8","SNORD15A","SNORD15A","NNMT","HSH2D","HGF","C1QB","TM4SF1","SNORA74B","FSTL3","GYPE","SERPINE1","ELANE","HLA-DMA","AREG","CYBB","CRABP2","TGM2","TREML1","CAPN3","C1ORF186","LAMA5","SNORA49","HPGDS","COL4A2","CCND1","SNORD97","ELMOD1","MGAM","SNORA54","CLMP","KIAA0125","PDGFRB","TNNI1","HIST2H2AA3","SNORA7B","SNORA55","SNORA7B","SNORA49","SNORA5C","SNORD97","SNORA74B"
"30","SLC19A3","CDH11","RNU5D-1","SNORA74B","IGFBP4","DPPA4","SNORA71A","SNORD10","COL4A1","SNORD10","CAV1","RNASE1","PCOLCE","HOPX","EMCN","S100A9","FBP1","HK3","CD86","MEIS1","ITGB8","MZB1","PAX8","SNORA37","HBA2","EGFL7","COL4A1","SNORA54","RTN1","RNU11","SNORA81","COL6A2","SELM","TM4SF1","MYH2","COL6A2","LTB","SNORA5C","RNU5E-1","MS4A3","RNU11","CD3D","SNORA38"
"31","CPM","TNC","SNORA55","FCRLA","MXRA8","S100Z","SNORD22","SNORD97","HIST2H2AA3","SPI1","TUBB3","CDK1","ADM","SYNGR1","PLAC8","PTHLH","CD68","SNORD97","IFI30","PLEK","NNMT","RPS4Y1","ITGA3","SNORA81","MEIS1","CLDN11","LUM","SNORA10","KIAA1107","SNORA54","RNU5E-1","COL4A1","RASSF6","SRPX","XIRP2","SERPINH1","SNORA34","SNORA7B","SNORA74B","SNORA74A","PRF1","SNORD15A","SNORD15A"
"32","SEPP1","COL6A2","SNORA21","RNU5F-1","STC2","NREP","S100A9","TMEM176A","CALCRL","PTGDR2","FBLIM1","CA2","COL12A1","SPNS3","NFE2","MDFI","CCL2","SNORA37","SNORD97","CLU","TBC1D16","MEST","AGRN","SNORA54","KIT","CLEC14A","HIST2H2AA3","SNORA36A","GRID2","RNU6ATAC","SNORA7A","SERPINH1","HLA-DRB5","LTBP1","TNNI2","FBLN2","CD6","SCARNA8","SCARNA8","RNU5F-1","SNORA9","SNORA37","SNORA37"
"33","AQP1","NNMT","IGJ","SCARNA3","TGFBI","PLAC8","RNU6ATAC","RNU5E-1","FN1","CSF2RB","ITGA3","SPTA1","PTX3","LAT2","HLA-DRB1","F3","RNASE1","SNORA74A","HAVCR2","LTBP1","GPR143","CRYGD","MCAM","AQP9","PLAC8","LAMA4","SULF1","SNORA55","LPL","SNORD10","KLRB1","PLAU","CD79B","NNMT","CKMT2","SFRP1","SNORA74A","RNU5D-1","IL7R","SNORA61","SNORA55","SCARNA8","SNORA71D"
"34","C7","ADAM12","RNU11","SNORA21","FSTL1","MEST","CTSG","A2M","TINAGL1","SNORD15B","THBS1","CPVL","CLDN11","AIF1","MEST","S100A16","CD36","SNORD94","CYP27A1","NFE2","MCAM","SELL","RBP1","APOBEC3A","DPPA4","HIST1H3C","FBN1","SNORD10","KCNAB1","CMTM2","RNU5D-1","GJA1","FKBP11","DCBLD2","RYR1","CCND1","SNORA74B","SCARNA1","SNORA37","SNORA38B","CD3D","SNORA55","SCARNA1"
"35","VSIG4","CCL2","SCARNA3","CD79B","GJA1","KIAA0101","SNORA7B","SNORD15B","COL4A2","GPR97","TGFBI","SYNGR1","COL5A1","HLA-DRA","RPS4Y1","CSTA","A2M","CD36","SNORD10","MYLK","RAB38","CD69","IGFBP4","FCAR","HLA-DRB1","HSPG2","NES","SCARNA3","NDRG4","CYP4F3","SNORD97","MME","CHPF","TUBB3","ENO3","LTBP1","ZAP70","LTB","SCARNA1","SNORA81","SNORA10","SCARNA3","SNORA84"
"36","SORBS1","MRC2","RNU5F-1","BANK1","ADAMTS1","CD52","SNORA20","SNORA54","STAB1","SNORD97","CCND1","SELENBP1","TAGLN","RPS4Y1","EAF2","PLEK2","TYROBP","IGSF6","FABP3","ELOVL7","TM4SF1","DHRS9","COL18A1","SERPINB2","SERPING1","S100A16","FSTL1","SNORA21","SMPX","SNORD97","SNORA9","PLAT","BHLHE41","FSTL1","SYNPO2","TUBB3","ADTRP","SNORA71D","SNORA11D","RNU5E-1","SCARNA8","RNU5E-1","SNORA55"
