"","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Epithelial_cells","Erythroblasts","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","MEP","Monocytes","MSC","Myelocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Platelets","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"309","CRB1","SLC38A1","CCL5","PRKCQ","LAMC1","BCL2A1","HLX","STOX2","CARD6","ITGA6","SYTL4","CCND1","CDK2AP2","PIK3AP1","FLRT3","MMP25","UGT8","FAM83D","EPS8","LYN","HLA-DPB1","NT5DC2","HLA-DQB1","ID3","NAP1L3","CXCL6","TBC1D10C","FAM155A","DSE","IL33","RAB37","KIAA1462"
"310","PLCE1","GNB5","KLHL14","SLC43A1","EMILIN1","PSMB8","CYFIP1","PFAS","CLU","IGFBP4","STOM","TIMP1","LGMN","AURKB","NR1H4","HACD4","PRKCZ","MYO6","RPS6KA1","DNMT3B","OSCAR","DSG2","SLC27A2","LAMB1","FOXM1","PAG1","BTN3A2","C3ORF80","GPR137B","CLIC4","CD8B","PLPP4"
"311","PIR","PLEKHF2","CD9","MBOAT2","TUBB6","H1FX","RAC2","DHCR24","GATA6","GNAI1","FBXO5","LGALS3BP","PCGF1","KCTD12","CALD1","BCL6","DSCC1","CYP2C18","EMP3","LINC01003","MCEMP1","CYTL1","C5AR1","MARCKSL1","BEX3","NFE2","GAB3","LY96","ARHGEF3","NEAT1","HLA-E","ZCCHC24"
"312","SACS","KIAA0101","MCTP1","TP53","NT5E","MND1","NFIL3","LINC01356","PKIA","LAPTM4B","BGLT3","EPB41L3","AURKB","RARRES3","NUDT7","SULT1B1","CDCA7L","TMEM86A","NEK6","SHCBP1","GPAT3","BUB1","NUF2","ACKR3","PEG3","WIPF1","CMPK2","ZNF415","GPR65","RRAS2","ABCB1","C10ORF10"
"313","PDP1","PTK2","ZNF367","AHCY","NT5DC2","RRM2","PTGR1","FZD3","RGS4","TSTD1","MND1","S100A6","WASF1","PTPN7","TMEM47","TIMP2","ARMCX1","PTPRK","ZC3H12C","PRDX2","FAM65B","CADM1","CENPK","SPA17","TMEM108","VNN1","FAM69A","PAPSS2","GBP1","MYO1B","PRDM1","PCDH18"
"314","PKIA","GOLGA8A","HLA-DMA","S100A6","CITED2","ISYNA1","TBXAS1","KIF21A","NOS3","ANXA1","EPCAM","PTGS1","RHEBL1","VIM","MT1X","MRVI1","CECR1","SLC31A2","PTPRC","HLA-DMA","DSE","RECK","PAG1","TCEAL9","EIF1AY","IQGAP2","LPCAT1","GBP3","TPM1","PBX1","FAM134B","ACSL1"
"315","NELL2","NCKAP1L","CST7","ZNF367","C12ORF75","HOXA10","C17ORF58","LMNB1","NCAPG","MFSD6","TSPAN5","CSF2RB","CTCFL","CDC7","CYP2J2","LITAF","EDNRB","GPX2","TMEM255A","BOLA3-AS1","IL6R","KIF15","ZWINT","COPG2IT1","GSTA4","ABHD5","LINC00996","NDRG1","PTPRK","MGST1","KDM5D","ABCA1"
"316","ATL1","BUB1B","FABP4","TANC1","COLEC12","CYSLTR1","CREG1","NPTX2","ADAM9","SERPINF1","NUP62CL","LGALS3","KDM1B","WASF1","TGFBI","LMO2","MCM10","ACER1","SQRDL","SNORA68","SMPDL3A","PDCD1LG2","NONAME155","CXORF57","SORCS1","CASP4","ICAM2","ARRDC4","MCUR1","TUBB6","UPP1","PTRF"
"317","SPRY2","AICDA","KCTD12","MYL4","TIMP2","AIM1","CTNNAL1","ELOVL6","TGFBR2","CORO2A","FERMT3","DHRS3","GCA","ZNF521","AKR1B10","TNFAIP8L2","IRX2","HMOX1","PTGR1","FECH","CAPG","CLIC4","ANXA1","CDH10","COL1A1","SOCS3","VAV1","MAFF","CCL4","MVP","GLIPR1","NT5DC2"
"318","MARCKSL1","IGLV5-45","HHEX","BAG2","GALNT3","TUSC1","MGST1","PHGDH","PLA2G16","SPRR2A","ZNF273","MYH10","CLDN12","NME1","BLNK","IRF1","GLDC","TREX2","SLC16A10","NMI","PKM","SKA1","CRISP2","UBE2T","TMEM97","ACSL1","GSAP","KRT86","BEX3","ZFPM2","FERMT3","COL8A2"
"319","JAKMIP2","C1ORF162","CMPK2","LHFP","PPP1R14C","GCA","IER3","TMEM133","TPM1","BHLHE40","BOLA3","XIST","HYLS1","TLR2","NUPR1","C10ORF54","CYB5R2","KLF4","SERPINE1","BEX2","RUNX3","TMEM119","PLS1","ASTN1","LGALS1","HIST1H4H","ABLIM1","EYA2","RUNX3","AHRR","FAM78A","SLC16A3"
"320","CPXM1","PRKCD","CCNA2","KCNK5","BAG3","CASP4","LAT2","SPINT1","SNCA","CTSS","IFI27","CDH2","GJA1","NDN","CIDEB","PTPRE","TRIM24","FRMD4B","GPR137B","NONAME778","MCTP1","S100A16","MARCKS","F2R","TMEM132B","HERC5","HLA-E","CTSZ","CD96","BAG2","ID2","MARCKS"
"321","AQP4","GNG7","MANSC1","FAH","GRAMD3","RASSF2","PLEKHO1","AURKA","CFL2","BASP1","TXNDC16","RGCC","ELOVL3","IRAK3","SLC38A4","SYTL1","PAWR","DHCR24","HCST","IGFBP7","CD44","TNFRSF10D","STOX2","CCDC160","UNC5A","NONAME710","LPXN","MGARP","CDKN1A","PLA2G4A","SH2D2A","PMAIP1"
"322","RAP1GAP","CXXC5","CYSTM1","SEPP1","SEPP1","SYTL1","PTGFRN","DLG5","SERPINB9","SH3BP4","ST6GALNAC1","MAMDC2","AIM1","FERMT3","FAM134B","RHOH","RAB34","TOM1L1","VIM","PCCB","CLEC10A","PTGER2","CLEC4A","CDKN1C","INA","NOD2","SYNE2","CMAHP","FGR","AMIGO2","IL11RA","BAG2"
"323","ELMOD1","MFNG","YOD1","RAC2","ADSSL1","RPP40","SEMA3C","LINC01224","NONAME826","TMEM54","CDCA3","RBFOX2","LINC01467","HIST1H4C","ATP1B1","CFLAR","PRIM1","ENDOU","BAG3","C4ORF32","TBC1D8","SCN3A","SHCBP1","TRIM2","TCEAL9","IGF2R","HLA-F","DPYSL2","BIRC3","ANXA1","GSDMB","KDELR3"
"324","CD9","SH2B2","KIF23","PLS1","MMP7","NUSAP1","FLVCR2","TCEAL9","ARSJ","TUBB6","HDHD3","MGST1","PNMAL1","HMMR","CYP2A7","SERPINB1","DPYSL2","LNX1","TBC1D9","CDK4","ASGR2","SPC25","M1AP","ABAT","CNRIP1","HECW2","SP140","FAM129A","PROSER2","BAG3","APBB1IP","RBFOX2"
"325","PTGFRN","COTL1","NPL","DEPDC1","ITGA11","RMI2","HK3","TRIM24","ITGAV","MVP","JUNB","PBK","SH3GL3","BEX3","GLDC","CD3D","LOXL1","TUBB6","IL4I1","CTHRC1","OLR1","APCDD1L","CAPG","KIAA0101","QPRT","STX3","DUSP10","SAMD9L","SLA","SLC4A7","PASK","KLF9"
"326","LINC01003","DTX1","RHOH","SLC18B1","LGALS1","APOBEC3G","GCA","DPYSL2","SLC40A1","FUT2","FEN1","EPDR1","LIPG","GYPC","NCKAP1","FAM101B","DLG5","LAMB3","SPOCD1","RNASEH2A","CXORF21","NONAME873","ATP23","NUP62CL","HES1","PIK3CG","FKBP11","C2ORF40","HPSE","GNG11","ITGA6","CPM"
"327","NFIA","GRAMD1C","BTK","BCAT1","DSE","CCNB1","S100A11","NT5DC2","FAM124B","TFCP2L1","APOBEC3C","WNT2","HSPA1B","SNHG19","SLC46A3","ADGRE1","RMI2","ABHD12B","GLIPR1","TSPAN13","TRIM22","NRK","S100A11","KISS1R","SLC35F1","VAV1","STK39","INA","TSPAN13","LGALS3","MYBL1","RRAS2"
"328","PHLDA1","FAM46C","TPX2","BGLT3","COL21A1","HIST1H4C","LY86","FAM171A1","CYTL1","CEBPD","KIAA1586","TCEAL9","ECT2","TSPAN13","RUNDC3B","PYCARD","PFAS","HS3ST6","DSE","GUSBP11","MGST1","LINC01133","IL2RG","DNMT3B","SIX3-AS1","NINJ1","DUSP2","MICAL2","AIM1","RCN3","STAT5A","PARVA"
"329","NLGN1","SEPT1","ALOX5","DMTN","FAM198B","PKIG","CD44","BASP1","DUSP6","SEMA3C","NONAME155","ADAMTS2","CALML4","NUCB2","ART4","SYK","BAMBI","ALDH3B2","ARHGAP25","ARMCX1","ICAM3","CDC6","CEP55","RAD51AP1","ORC6","PRSS33","UPP1","LGALS3","PTPN12","DFNA5","ARHGEF6","TANC1"
"330","RHOBTB3","SH3BP5","SERPINB1","PRKDC","GAS6","TSTD1","SQRDL","PIM2","ANXA2","CYP1B1","NCAPG2","BCHE","TRIM59","POLE2","CMTM8","BTK","TRIP13","WFDC21P","S100A11","NEFH","AIM1","VIM","IL18","IL17RD","FZD7","STK17B","LITAF","IBSP","RASGRP3","ITGAV","CD7","ZBTB16"
"331","ATP1B2","CARD16","P4HA2","UBE2T","OLFML2B","NME1","TIMP2","PLOD2","SOX18","GOLM1","NCAPD3","ID2","FOS","ALYREF","SULT1A1","TMCC3","EIF1AY","SYTL1","SCARB2","SPIN4","S100A6","EPHA5","HLX","RRAS2","MCM10","ZNF267","GK5","DDX3Y","ZNF100","BMP6","PDE7A","TRIM22"
"332","PRSS23","GBP1","LGALS3","HBE1","CFH","VIM","IQGAP2","BEX5","EXOC6","ADGRG1","NONAME715","PALLD","MTERF3","NT5DC2","TFPI","S100A11","PTPRG","CTSH","PLTP","ANKRD36BP2","DPYSL2","PLA2G4A","S100A4","PPM1E","TUSC3","CCNJL","NLRP2","C15ORF48","ARHGEF12","CLEC3B","PLCL2","ROBO1"
"333","GEM","QPCT","MAD2L1","SHCBP1","CA2","PFAS","RPS6KA1","MID1","CD59","ST6GALNAC2","SMC2","PXDC1","ARHGAP18","PRTFDC1","FAM110C","MEGF9","BNIP3","PFN2","CREG1","S100A6","PTAFR","LTBP1","PTPN7","NLGN4X","ASPM","CDA","GPR82","CNRIP1","IQGAP2","SQRDL","CST7","DNER"
"334","ENC1","CASP4","AQP1","REPS2","DNM1","ARMCX2","CASP1","CDCA7L","RAPGEF5","CDC42BPB","FAM210B","KRTAP2-3","GNAT2","GGH","SDC1","SOD2","DSE","GDPD3","TCEAL9","PLEKHG1","THBS1","CDC42EP3","PSMB9","KIAA0895","PTMS","LPCAT2","AIM1","PXDC1","ZNF542P","TNFSF13B","NONAME769","SQRDL"
"335","DCLK2","CNTRL","BIN2","CD37","POPDC3","RAD51AP1","CD93","CER1","SH2D3C","NR2F2","FOXO3","SDPR","FAM184B","GCA","TMEM56","CYFIP2","ADGRG2","IL1A","PKM","EGFL7","S100A10","FGF2","CDK1","CHD7","BTBD3","IFI16","ENPP4","LINC01013","TRAF5","CASP4","ANXA1","HOXA5"
"336","ANXA1","BCL7A","TRAF3IP3","CBFA2T3","COL9A2","IRF8","DPYSL2","CA2","HSPG2","SQRDL","ATG4A","ANKRD6","ZFAND2A","PRC1","CAT","C12ORF75","TPD52","DUSP14","BHLHE41","H1FX","CALHM2","GINS1","CENPM","HOMER1","AURKA","GLIPR1","HLA-DRB1","SLC39A10","APP","GRAMD3","HIST1H4C","AKAP12"
"337","ENO2","MIR155HG","TSPAN13","NCKAP1L","SORBS2","NUCB2","RCSD1","DOCK4","LAPTM4B","TFPI2","CHAC2","IFI16","TMEM14A","LCP2","PLA2G4C","BST1","NUDT11","S100A11","PIR","RRAGD","TLR7","KIF2C","MID1IP1","NAV1","CENPU","RAC2","IER3","IL6","SOD2","ADAM9","GCH1","CD44"
"338","OMG","CD86","P2RY8","ABCB10","P3H4","IFI16","PKM","MYO1B","MVP","DUSP4","KCNN4","ME1","CCNE1","EMP1","SLC41A2","ALDH1A1","BASP1","CEBPA","AIM1","CDC45","RARRES3","HMMR","TSTD1","ENAH","REC8","DDIT4","NLRC5","OSR2","PLXDC2","IL13RA2","ARHGAP30","KCNE4"
"339","SEPP1","OIP5","IFI16","TUBB6","LTBP1","RAB33A","KCNN4","ZNF738","UBE2C","HSD17B2","CEP152","MXRA7","IL4","TRIM22","SQRDL","RAB37","STEAP1","MYO1B","RAI14","FAM124B","SERPINB2","AURKA","C10ORF54","WLS","LGALS3BP","IL1RAP","TMEM181","C1ORF198","GBP3","BTN3A3","TYROBP","RGS2"
"340","EMP3","PMAIP1","CXCR2","PCCB","EPDR1","LYSMD2","CD37","SYT1","FAM69B","RAB11FIP1","TTC32","PKD2","LAPTM4B","ADGRG6","APOM","BLNK","FST","CEBPD","LYN","ZNF367","CTSB","NUF2","HTRA4","EML1","LDLRAD3","THBD","ELL2","CD14","LEFTY1","CDH13","IL16","ZBTB8A"
"341","FRMD5","CCNB1","ACSL6","CCNE2","ADAM12","LYN","BIRC3","GDF3","JUP","TFAP2A","USP15","ANLN","ZAR1","H1FX","MEST","CTSG","NONAME318","RASGRP1","NDP","NONAME850","HCST","TNFRSF11B","RHOH","CXCL14","MCM2","PIK3R5","CEP78","HSD17B6","PDGFA","CDKN1A","AKTIP","CARD6"
"342","LIMCH1","CECR1","AKR1C3","EMP3","MT1M","ALYREF","TLR1","MIR205HG","KIF4A","TSPAN13","CDCA2","S100A11","KLHL7","APOBEC3G","GGH","ENTPD1","DDX3Y","CITED2","UPP1","UROD","HSPA6","ZWINT","CPNE3","MOB3B","ADM","P2RY8","VIM","ARMCX1","HLA-DOB","IFI16","DENND1C","BASP1"
"343","ARHGEF3","SMAP2","PTTG1","TPST2","TSC22D3","KIF4A","PDCD1LG2","POLE2","MYRIP","TPD52","LGALS3","TWIST2","PLPP4","SIDT1","TFR2","MYB","CHEK1","CCL20","ANXA2","TST","SPI1","CPE","SQRDL","FHOD3","TAF1A","SLC16A6","CCDC88C","C1R","THEMIS","CITED2","SELPLG","AREG"
"344","CSGALNACT1","GLIPR1","BASP1","SLCO4A1","NINJ2","XIST","CRIP1","ITGA6","PLXNA2","TCEAL9","PKP4","APOD","ANLN","CEP55","C3P1","MMP9","KDM5D","TCEAL9","FPR1","PTGS1","PTGER2","NUSAP1","AIM1","PRC1","DZIP1","TNFSF14","CRIP1","EMP3","KIR3DX1","DSE","FAM101B","CFH"
"345","PDGFC","UBE2C","SMAD1","ERMAP","ELL2","GYPC","SYNGR2","HERC5","SASH1","ANXA2","POLA1","RRM2","PLEK2","PIWIL4","SDC4","SLCO4C1","FRAT2","PSORS1C2","DTX4","NME4","METRNL","CD44","CAT","FAM83D","MAGED1","SLC31A2","PRDM1","SDC4","ADRB2","CLDN11","NONAME850","OLFML2B"
"346","EPDR1","TSPYL5","CEACAM1","B3GALNT1","CHSY3","IGFBP2","TMEM51","TMEM158","DPYSL3","B3GNT5","S100A8","NRN1","CCNJ","P2RY14","APOB","RCBTB2","GPR19","LYPD5","PSMB9","MRPL12","NONAME405","AJUBA","FAM46A","DUSP4","CYFIP1","ABCA1","C5ORF56","HEG1","P2RX5","FGF2","SMAP2","NQO1"
"347","MARCKS","ABLIM1","FECH","C8ORF88","C11ORF96","CITED2","AOAH","SHTN1","LMO2","KCNK1","CDT1","SEPT10","ARG2","FAH","PECR","LILRB1","LAMA1","KLK12","TYMP","ICAM3","SOWAHC","GALNT3","FGL2","ENPP2","TNS3","EIF1AY","SPRY2","JAM2","DOCK10","NPTX1","KAT2B","ITGA10"
"348","SLC6A1","ZWINT","CAT","HEBP1","IL1R1","TYROBP","RASSF4","MARCKS","CD55","MARCKS","HCLS1","FOS","NFKBIA","CCR2","CYB5A","IFI16","CENPW","NXN","SEPT10","VPS37B","ANXA2","STEAP1","TCIRG1","FAM171A1","RGS4","SIPA1L2","CASP4","NAP1L3","TFPI","GPAT3","PRKCB","TMTC1"
"349","GSTA4","TIFA","NINJ2","KCNN4","TNS3","ZC3H12C","P4HA2","PTBP2","FLT1","AIM1","ARHGAP11A","PLAC9","CEP78","CASP4","PON2","IER3","MCM5","CYB5R2","DENND2D","PNPO","CD300C","HACD1","HIST1H4C","PIR","ST6GALNAC3","SLC16A3","HBB","SRPX2","LAPTM5","EIF1AY","A2M-AS1","ANXA2"
"350","E2F5","MICB","AIM1","P2RX5","AKR1C3","TRAF5","PLAUR","ENAH","ANXA1","NQO1","CDC25C","ANXA1","TTC5","PFAS","PCOLCE2","SQRDL","BAG2","SEPT10","HOMER1","P2RX1","CASP4","FAM83D","DYSF","TET1","DEPDC1","CASP5","RAB37","IL26","LCP1","BCAT1","EIF1AY","CERCAM"
"351","GXYLT2","BLM","SLC22A4","EZH2","LGALS3","PRKCQ","FADS1","GFPT2","SERPINH1","DMKN","KLF9","ADRA2A","PAXIP1","TSTD1","DAO","CSF2RA","PDLIM1","SFT2D2","SMCO4","MCM7","RGCC","CENPV","DTL","ANOS1","TSPAN13","PMAIP1","USP9Y","TSPAN13","MSANTD3","KCNT2","TRAV26-2","DDIT4"
"352","ARHGEF6","GCSAM","ITK","CCDC69","KLF2","RAB34","SLC26A11","BMP2","ARMCX1","TRIP6","TSPAN13","NONAME62","CRISPLD2","SLC22A4","PGLYRP2","PARP8","TYMS","MGLL","BASP1","SYTL4","FLI1","PTTG1","B4GALT5","AMPH","FANCI","GADD45B","ITGB7","P4HA1","ERP27","ADAM12","CDC25B","CLIC4"
"353","ZBTB8A","BTN3A3","GINS2","SLC25A37","PTRF","CENPK","GIMAP4","RBP1","CASP4","DUOX1","SLC7A11","EN1","SLC19A2","P2RY2","CTH","BTNL8","GOLM1","ABLIM1","CD44","TPM1","PQLC3","SHCBP1","MAD2L1","AURKB","CRISPLD1","CXCR1","CXCR2","C12ORF75","JAM3","GPRC5A","FOS","TNS3"
"354","BASP1","TSTD1","AURKA","SPINT2","SULF2","UBE2T","LYN","CCND1","EPS8","LYN","PIR","LINC01503","TPX2","CXCL2","SORL1","MARCKS","CDCA5","HTRA1","SH3BP5","REC8","VIM","ZFPM2","LGALS3","KIF18B","GNAZ","LILRA6","FAM179A","SQRDL","PDGFC","PDGFC","OPTN","PPP1R14A"
"355","SALL2","TNFAIP8","CFP","VRK1","FKBP5","SLFN11","UPP1","SYT6","NFE2L3","DAPL1","SOX6","SYNPO2","DCLRE1A","NCF4","FBXO6","TRIM22","ELOVL6","SQRDL","RBM47","INTS6L","WIPF1","GBP3","ARHGAP25","KIT","ZNF367","ARRB2","IGF2R","CKAP4","LIPC","ADH1B","CASP4","ANXA1"
"356","FGFBP2","STAG3","ART4","DSCC1","DSG2","PLOD2","MOB3B","PSIP1","FAM107B","NET1","WIPI1","HACD1","SNHG18","GLIPR1","CNDP1","RBP7","MIS18A","MCC","CCND1","TTC7B","TIMP1","TK1","UGCG","BMPR1A","PAK3","DSC2","RAB27A","PPP1R14C","PBX1","PTN","RCAN3","F2R"
"357","LGALS3BP","OAS1","ANKRD22","ABHD14B","SLC29A1","KIF15","BASP1","KIF18B","F2RL1","SRPX2","CDCA7","MYH2","B3GNT2","CD33","RRAS2","DUSP6","MELK","CYP2J2","SLC37A2","APOBEC3G","MEF2C","APOBEC3B","KBTBD7","VIM","SFXN3","NONAME873","INPP5D","TMEM119","ZNF573","DPYSL2","TRAV9-2","NPR3"
"358","PAG1","ATP10D","ARAP2","TMOD1","GNG11","DUSP6","RAB33A","CCDC144NL-AS1","GBP3","ALCAM","ATAD2","CD55","TMEM51","BST2","LRG1","NFIL3","SEPHS1","NONAME691","PECAM1","CITED2","ID2","CRISPLD2","SLC26A8","FRMD4B","MIR17HG","IFITM2","PCED1B","TSPAN6","PRKCQ-AS1","MARCKS","ACSL5","IRS2"
"359","SLC1A3","FOXO1","MGST1","SLC6A8","S100A4","MANSC1","LAIR1","GALNT3","CKAP4","LINC01279","CDCA5","DPYSL2","FAM220A","SOX4","NTN4","RNASE3","BEX3","TNFSF10","PMP22","PARVB","IFIT3","NUAK1","VRK1","IPO5P1","GOLGA8A","PPCDC","FAM107B","SLC40A1","RASGRF2","PDIA5","OCIAD2","DPYSL2"
"360","GNG3","TSPOAP1-AS1","MPP1","NMI","SERPINA5","TRIM22","IFI16","CYB5R2","TMEM173","MYO5C","AQP1","FBLN1","C12ORF77","NINJ2","MGLL","MSRB1","CITED2","DNASE1L2","TMEM251","ME3","SQRDL","MAB21L1","H1F0","BASP1","PRR34-AS1","GK","FAM129A","PDLIM1","CTTN","ITGB5","LITAF","IRX2"
"361","ZBTB20","EGR3","PRDX2","LPCAT3","APOD","EGFL7","SEPT10","PANK1","F11R","EGFL6","NINJ2","GBP1","UBXN11","RAB34","CRYZ","VNN1","VIM","CDH1","LILRA6","BIN2","TNFAIP8L2","PRSS12","PYGL","SH3BP4","KIAA0101","LITAF","DNAJB14","UNC5B","VEPH1","WWTR1","IFI44","LTBP1"
"362","NDRG4","FADS3","RAC2","LBR","BNIP3","ANXA1","ARHGAP31","NONAME826","EMP3","F11R","ECT2","PRTFDC1","FRMD3","IFI16","ACSL1","NLRC5","PKM","TMEM154","TIGAR","NET1","ADGRE5","BIRC5","TPX2","ANLN","BASP1","MIR22HG","RHOC","RBM24","NCF2","S100A11","SH3BP5","SPARCL1"
"363","LRRC3B","ITM2A","FAM107B","CDCA3","SETBP1","LINC00341","ANXA2","PHLDA2","EHD4","IFI16","LBR","CRNDE","GEMIN5","ANXA1","ALDH2","SEC14L1","SLC16A10","NDFIP2","ADGRE5","CASP4","CDA","AURKB","PTPRC","ZWINT","SLC6A8","NEDD9","CARD11","ANXA1","GSAP","CALHM2","EVL","CFL2"
"364","PPP2R2B","PBK","IFITM1","CDK4","S100A11","ME3","RNF19B","F11R","ZNF185","SIX1","CTNNAL1","EVA1A","GNAI1","CDK4","TSLP","PADI4","CYP26A1","LGALS3","TRPV2","HEBP1","IFI44L","DSE","ACTN1","ASAP2","GKAP1","PELI2","DHRS3","FAM26E","SERPINE2","TNS3","S100A6","LEPR"
"365","ZNF827","GVINP1","GALNT3","IFI27","KCNK15","IRAK3","SERPINA1","HOOK1","SERPINE2","KYNU","ESCO2","BAG3","AKR1C3","MSRB3","MSMO1","PPP1R3B","USP9Y","SPINT2","OAS1","CD69","RCBTB2","DEPDC1","KBTBD6","BUB1","CCNA2","BCL3","STAP1","BACE2","TRIM22","CFL2","BIN1","HSD11B1"
"366","PRPH","ZHX2","ANXA1","NME4","SQRDL","SPNS3","CD200R1","BEX3","EPHA2","CYBA","PIM1","CFL2","KLF2","BEND5","EFHD1","RAB27A","PLPP1","ANXA1","CASP1","MSH2","UPP1","IFI16","CXCL1","GPR19","PTTG1","SULF2","GNPTAB","HSD11B1","SLC2A3","RAB34","SLAMF1","GALNT15"
"367","AMOTL2","FNBP1","GBP1","PTK2","ANXA1","VSTM1","NR4A3","MEGF10","CDKN3","RHOC","MICAL2","NAV3","KLHL26","SLA","TRPM8","CCL5","CCND1","NANOS1","S100A6","REXO2","CCR5","CENPE","MYO1G","ADGRL3","SACS","CEACAM1","ADAMTS1","POPDC3","IL2RB","ADGRA2","GZMM","RGCC"
"368","GINS1","PRKCB","MARCH1","CENPV","CSTA","FAM26F","ANXA1","PRIM1","APP","PSMB8","TP53INP2","ANXA3","TSPAN7","TOP1MT","PIK3C2G","CASP5","PPP1R14A","IGF2BP3","PHLDA2","PLAGL1","SLC2A6","KRTAP1-5","RAD51AP1","TSPAN13","ERBB3","PYGL","STK26","CADM1","TNS3","TMEM263","LPXN","PRR16"
"369","KIAA1958","NUSAP1","TMEM154","LAPTM4B","THUMPD2","TNFAIP8L2","G6PD","SLC39A10","MYH10","TRIM22","VRK1","ERRFI1","GPAT3","NEURL1B","CFL2","WLS","PRSS8","ATP1B1","TIE1","POLA1","PSTPIP1","ASPM","ENPP4","PCP4","CXADR","TIMP2","FLNA","WLS","HIST1H2BK","PAMR1","TRAV16","RNF144A"
"370","IQGAP2","TNS3","OIP5","TSPAN13","CD44","IMPDH2","TLR2","AK4","S100A11","ZNF185","MT2A","AKAP12","SMAD1","TPX2","FNBP1L","CFD","E2F5","LINC01094","SLC47A1","SPN","GCH1","BRIP1","SUSD3","NT5DC2","FZD3","PREX1","SPAG1","MOCOS","PCGF5","TDO2","RECK","CDKN1A"
"371","NEDD4L","INPP5D","ASPM","EPOR","KIAA0226L","NAALADL1","GALNT18","BAMBI","NXN","ASAP2","TRIM10","SLC16A3","TIFA","LHFP","SKAP1","GOLGA8A","FGFR2","C4ORF32","G6PD","TMEM14A","BASP1","FOXM1","VIM","NID1","FSCN1","NONAME878","ANXA1","GLS","KCTD12","H19","STK17B","PERP"
"372","PHLPP1","SHISA8","EMP3","FANCD2","JUNB","ABCB1","WIPF1","CENPW","ERAP2","GSTP1","SGO2","NAP1L3","TIGAR","PXMP2","CD24","ANXA1","MLLT11","PLAGL1","MCOLN3","TMEM173","ANXA1","SCUBE3","SVIP","HSD17B2","GPR19","HEY1","NONAME813","OXTR","LBH","ANTXR1","TBC1D4","CITED2"
"373","LGALS1","BTNL9","FCRL1","TMEM246","EVI2A","PLAGL1","LITAF","SPRY2","TUBB2A","EFNA1","ZNF175","ZWINT","TULP3","MRPL23","LINC00261","IMPDH1","SERPINB9","SLC37A2","SIRPA","RFC4","NFKBIZ","TCEAL9","LINC00341","AURKA","PLK2","CEBPD","SLC2A3","GBP1","CECR1","TSLP","NONAME813","GADD45B"
"374","NDN","HMGB2","CCNE2","ALDH18A1","THBS3","VAV1","S100A6","MYL9","PLPP3","SAT1","RFC3","BASP1","EBF1","CENPW","MT1F","C3AR1","COL4A1","ATP12A","LAT2","HELLS","ALDH2","KIAA0101","TMC8","EZH2","LMNB1","MAFB","PARP8","TMEM178B","BCL11B","ANXA10","NR1D2","ALOX15B"
"375","ARL4C","LPAR5","SLC25A39","CARD16","FGFR2","FKBP11","PTAFR","COL4A1","FSCN1","ADRB2","BPGM","UBE2C","HPF1","SV2A","SLC22A3","DACH1","TMEM98","CXADR","HAMP","SLC25A15","ADM","KIF18B","IER3","PTBP2","PANK1","SULT1B1","HEG1","ATP9A","PLBD1","CRIP2","PLXDC1","PTPRE"
"376","SHTN1","LPCAT1","EMB","CDCA5","MT1X","HLA-DMB","NEK6","ERBB3","GRB14","RBM47","BCAT1","MGLL","DEPDC1B","ACKR3","LIPG","HIST1H3D","CEP55","METRNL","PSTPIP1","EXTL2","LY75","SPAG5","SLC28A3","NBEA","VIM","CD37","XIST","PLPPR4","RNF11","MRGPRF","PFN2","SGCB"
"377","ATP1B1","MX2","TRIM22","SLAIN1","WASF3","CHST13","MGLL","KIAA1211","BOK","PTGFRN","DDIT4","BAG2","CCDC77","RAB32","PPIC","CYBA","NONAME896","ADAP2","ANXA1","CREG1","GRN","NETO2","MCTP1","TMEM200C","EPDR1","CCRL2","TMC8","KANK2","SLC46A3","STXBP1","CCDC18-AS1","SEPP1"
"378","RRAGD","SERPINA9","TFF3","C16ORF54","CA9","MBOAT1","CD226","GCA","FAM83D","GSTA1","SMC4","BGN","SH2D4A","ARHGEF6","TMEM14A","GPR171","MARCKSL1","CD9","SCG5","RNF130","IFI16","RCN3","CCNB1","BIRC5","LRCH2","GIMAP2","CTSC","BRINP1","TRG-AS1","ITGA4","ERAP2","YES1"
"379","NCKAP5","RHBDF2","MACROD2","NCAPG2","SPAG4","ZBTB16","BHLHE40","SDC2","CCNB1","LY75","MOSPD1","GHR","PQLC3","CITED2","ATF5","SLC2A3","CA2","CSRP2","GNA15","SNX10","CD9","NCKAP1","VAV1","LINC01158","PCDHB10","CKAP4","MYOM2","LGALS3BP","ZNF836","DNM3OS","SPTAN1","HOXA10"
"380","PSMB9","GCH1","CENPK","LSM2","NEXN","GCH1","ID2","RARRES2","EXT1","IFITM1","SLC25A39","CASP4","CENPW","CMPK2","CRYL1","ARG1","GCNT2","PKM","RASSF5","KIF18B","RRAS","TANC1","PTPRE","SHTN1","AGAP2-AS1","BTG2","HLA-B","DYNLT3","ANO6","DHRS3","LSP1","EVI2A"
