"","Adipocytes","B_cells","Chondrocytes","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","HSC","Keratinocytes","Macrophages","Melanocytes","Mesangial_cells","Monocytes","Myocytes","Neurons","Neutrophils","NK_cells","Pericytes","Skeletal_muscle","Smooth_muscle_cells","T_cells"
"735","LARP6","PARP1","IARS","WARS","HIST1H3A","TPTEP1","KIAA1671","IL9R","CPT1C","TOMM34","FAM110A","WAPAL","LONRF1","CRB2","SLC24A4","TPM4",NA,"ZBTB7B","PLXND1","ROBO1","PGM5","TNFAIP2","STK10"
"736","TNIP1","SP100","FOXP1","TNFSF4","C1QBP","HLA-DRB5","IARS","RPL22","SMAD6","ATP5S","COL8A1","ACSS2","PLIN2","KIFC3","AP1S2","MYCBP",NA,"FCGR2C","HNRNPA1","CD9","TSPO","MYH9","FCGRT"
"737","AFAP1L1","HSPE1","HIST1H4A","HIST1H4E","ESYT1","PACS2","TMEM25","CARHSP1","ICAM1","C16ORF54","EPN1","PDLIM4","EBP","NCOR2","DEFA3","SIK1",NA,"SCARNA9","LGALS1","GPRC5B","C10ORF71","THSD4","APRT"
"738","INSIG1","KLHL14","FOXO1","HSP90AB1","SCD5","RAB24","TSPO","CPPED1","RECK","CSRNP1","UBE2T","HIST1H4L","ECM1","OBSL1","NSA2","MYH9",NA,"SNORA59A","RNF125","TLN1","NR4A1","ENO2","MVP"
"739","PALLD","MAPKAPK2","SLC1A4","PPIA","CCDC50","MTA1","HIST1H3J","CYP51A1","TMED3","ARPC1B","BDKRB2","IER5L","GNA11","HIST1H2BF","DUSP10","PLA2G16",NA,"COL9A3","SLC16A3","TNS1","ASB11","LHFPL2","TNFRSF14"
"740","NBL1","RPL13A","RNF144A","GNAI2","ENAH","TNFRSF1A","LRP1","SLC14A1","BSG","NACA","POPDC3","RNASE1","MT1X","BMP4","APP","ITGAV",NA,"RNF130","FHL3","PPA1","DDX54","AK4","HIST2H2AA4"
"741","ADH5","MARCKS","UTRN","VAV2","PGM2L1","ANTXR2","MZT2A","CD70","FXYD5","ACTB","MOB3B","ALDH2","PCDHGC3","CTSC","GGA2","SEPT9",NA,"ARAP2","MBP","VEGFC","VSIG4","CENPB","FUT8"
"742","HIST2H4A","MLKL","CD276","PSTPIP2","SAMD9L","ID2","PPARG","SLC25A6","MRPL12","HDDC2","IL24","DSE","CD79B","ACOT7","KCNE3","AP1S1",NA,"LGALSL","RAPGEF1","FAM198B","CHRNG","LAMA3","LITAF"
"743","EIF3CL","RPL8","PPP1R12B","PTGER4","FKBP5","SPTBN1","S100A10","OIP5","APEX1","POLD2","SDF2L1","CCR5","MYH9","HIST2H2AC","CCL5","CD59",NA,"STAT5B","RPL36A","TGFBR3","EIF4E3","LSS","EEF1G"
"744","SCARA5","TYMP","ACTN4","IL15RA","HOXD8","TSC22D4","CHMP4C","HSPB1","CASP1","RAB3D","STEAP1","HIST1H4F","PSEN2","SCNN1A","CCR2","SYT11",NA,"KCNE3","FAM3C","RPLP0","GYPC","RPLP0","FAM105A"
