"","Adipocytes","B_cells","Chondrocytes","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","HSC","Keratinocytes","Macrophages","Melanocytes","Mesangial_cells","Monocytes","Myocytes","Neurons","Neutrophils","NK_cells","Pericytes","Skeletal_muscle","Smooth_muscle_cells","T_cells"
"1","PLIN1","IGJ","IGFBP3","CCL17","CDH5","DEFA1","LAMC2","HBG2","CXCL12","SPINK2","KRT5","TM4SF19","TYRP1","KRT19","FCN1","H19","PCP4","FCGR3B","SNORA5A","SCARNA16","CKM","THBS2","SNORA54"
"2","ADH1B","CD79A","ACAN","CCL22","VWF","DEFA1B","KRT19","HBB","COL1A2","NGFRAP1","KRT14","APOC1","PMEL","KRT8","LYZ","ANKRD1","PVALB","S100A12","SNORA20","PAPPA","ACTA1","MMP1","SNORD89"
"3","ADIPOQ","IGLL5","LUM","LAMP3","ECSCR","CLC","KRT7","HBG1","FBLN2","MZB1","KRT17","SPP1","DCT","LRRN4","S100A12","IGFBP2","CALB1","MNDA","GNLY","STC1","DES","COL1A2","CD3D"
"4","CIDEC","MZB1","PENK","CCL13","CLDN5","ALOX15","KRT8","HBA2","COL1A1","CTSW","S100A2","MSR1","TYR","PAX8","S100A8","PDLIM3","PCP2","CSF3R","RNU6ATAC","COL3A1","MB","COL3A1","LEF1"
"5","GPD1","MS4A1","SULF1","BIRC3","MMRN1","PRSS33","KRT17","AHSP","COL3A1","PRSS57","KRT6A","PLA2G7","MLANA","CDH6","S100A9","PLAT","GNG13","S100A8","SCARNA15","KRT18","TNNC1","COL6A3","IL7R"
"6","GPX3","VPREB3","COL12A1","CD86","ANGPT2","DEFA3","LAMB3","HBA1","CCDC80","KIAA0125","S100A14","ACP5","SLC24A5","C19ORF33","IL1B","MFAP5","STMN2","CXCR2","PRF1","COL1A1","NEB","COL1A1","ITK"
"7","RBP4","CD79B","CHI3L1","CD83","TIE1","LTF","CD24","HBD","COL6A3","CPA3","FGFBP1","TREM2","ABCB5","COL1A1","SNORA20","CCDC80","ALDOC","S100A9","GZMB","COL1A2","MYBPC1","SULF1","CD247"
"8","FABP4","CD22","DCN","CCR7","ESM1","MMP25","CLDN4","ALAS2","MXRA8","CD34","KRT6B","MMP9","OCA2","CD24","SNORD15B","LRRC17","DNER","TREM1","SNORD22","CLDN11","MYL1","CCDC80","SNORA20"
"9","CIDEA","DERL3","ABI3BP","BATF3","ROBO4","SIGLEC10","LAMA3","RHAG","FN1","CSF3R","ITGB4","APOE","SOX10","IGFBP2","CD300E","COL1A2","SPINK6","S100P","NKG7","MMP3","TTN","PLAT","LCK"
"10","LIPE","HLA-DOB","HAPLN1","CD274","TM4SF18","SPNS3","CDH3","GYPA","COL6A1","NFE2","SFN","LYZ","PLP1","PLAT","CLEC7A","ACTA2","GNG3","VNN2","SNORD94","STC2","TNNC2","SFRP1","SNORD94"
"11","LEP","CD19","EDIL3","TMEM176B","KDR","ADAM8","DSP","SLC4A1","CD248","HOPX","LAMC2","FABP4","LINC00473","KRT18","SERPINA1","COL3A1","GPRC5B","FPR1","SNORD15B","TFPI2","MYH7","FBLN2","TCF7"
"12","LPL","CD27","TNC","TRAF1","CLEC14A","SMPD3","C19ORF33","GYPB","LUM","PLAC8","COL17A1","LPL","SLC45A2","LYPD1","LILRA5","NES","NEFM","TNFRSF10C","SNORA6","GREM1","CMYA5","PAMR1","RNU5D-1"
"13","PLIN4","POU2AF1","COL1A2","EBI3","ANKRD1","CCR3","CLDN7","MYL4","DCN","CYTL1","LGALS7B","IGSF6","FMN1","MMP7","TREM1","STC2","PPP1R17","CXCR1","FGFBP2","TIMP3","MYL2","FGF7","RNU5E-1"
"14","SLC19A3","BLNK","EFEMP1","MMP12","MMP1","HK3","SFN","HEMGN","PCOLCE","CD69","LAMB3","CHI3L1","TRPM1","FN1","CSF3R","SERPINE1","FAIM2","AQP9","SNORD10","CTHRC1","MYLPF","IGFBP5","LTB"
"15","ACACB","FCRL5","OGN","MFI2","CD93","LGALS12","MAL2","RFESD","COL6A2","SELL","LAMA3","GPNMB","MCF2L","RBP1","RNU11","RGS4","GRIA2","APOBEC3A","GZMA","TGM2","TCAP","LAMA4","ZAP70"
"16","SPARCL1","RNU5D-1","PIEZO2","IRF4","EDN1","DAPK2","KRT18","PRG2","MMP2","HLA-DRA","SERPINB5","CRABP2","S100B","FSTL3","SNORD22","COL8A1","KCNIP4","MMP25","SNORA38B","LUM","SLN","PDGFRA","TRAT1"
"17","APOD","SNORD89","CPA4","SLAMF7","FABP4","EMR1","COL7A1","KIAA0101","LAMA4","AIF1","MIR205HG","CYBB","SLC16A6","LAMA5","SNORD10","TAGLN","GABRA1","VNN3","SNORA54","SERPINB2","TNNT3","LUM","SNORA38B"
"18","PLA2G2A","PPAPDC1B","COL3A1","LY75","APLN","SNORA74B","TACSTD2","UCA1","CLDN11","CDCA7","SDC1","CD68","EDNRB","HIST1H3E","C5AR1","PTX3","PTPRR","FPR2","RNU5E-1","COL6A3","MYH1","FBN1","CD69"
"19","CD163","KIAA0125","PDGFRA","CCL18","EFEMP1","PIK3R6","IGFBP2","GATA1","EFEMP1","WBP5","TNFRSF6B","LILRB4","IFIT1","COL5A1","SNORA37","SULF1","NKX6-2","SERPINA1","CD247","IGFBP5","NRAP","MMP2","RNU5F-1"
"20","C1QB","PTPRCAP","PRUNE2","TSPAN33","ACVRL1","S100A8","SDC1","GFI1B","C1S","PROM1","GJB2","FBP1","NOV","TAGLN","MS4A6A","ITGBL1","CA8","SLC11A1","RNU11","HGF","TRIM63","C1S","SNORD22"
"21","RNASE1","CPNE5","VCAM1","MIR155HG","MMRN2","VSTM1","IRF6","EPB42","PAMR1","GNB2L1","KRT16","AQP9","CAPN3","SERPINE1","NLRP3","IGFBP3","SNAP25","RNU5E-1","KLRK1","PAMR1","EEF1A2","EMILIN1","CCR7"
"22","CFD","SNORA20","CCDC80","CLC","BMP6","DPEP2","SPINT1","HMBS","PDGFRA","MPO","CDH3","CCL22","CDH3","TINAGL1","SNORA10","DKK1","SLC1A6","RNU6ATAC","SNORA7A","IL24","TNNT1","RGS4","SNORA61"
"23","CD36","HLA-DQA1","THY1","CD1E","EGFL7","CORO1A","HIST1H3E","PPBP","THBS2","RHOH","PKP3","HK3","CYSLTR2","COL6A3","SNORD97","COL1A1","GABRG2","RNU11","GZMH","COL6A1","MYOZ1","FN1","SNORD97"
"24","VSIG4","SNORA5A","COL1A1","CD80","CALCRL","AMICA1","FSTL3","RHCE","PTX3","CD37","TNS4","CD52","QPCT","MXRA8","SLC11A1","ITGA7","CHN1","SNORA54","KLRF1","NID2","PYGM","COL6A1","CD3E"
"25","PDK4","SNORD22","PRRX1","RNU5E-1","PODXL","ALOX5","FN1","GYPE","FBN1","LST1","FXYD3","IL1RN","MITF","AGRN","SNORA5A","EFEMP1","GNAO1","FCGR2A","SNORA9","SPON2","COX6A2","PTGIS","SNORA49"
"26","SORBS1","SNORD10","CYP1B1","UBD","PGF","OLIG1","MCAM","LXN","EMILIN1","AREG","C19ORF33","CD36","LZTS1","COL1A2","SNORA49","FN1","KIAA1107","SNORA34","SCARNA1","KRT8","ANKRD2","CLDN11","SNORA7A"
"27","CYP4B1","FCRL1","COL6A3","CSF2RA","BMX","ATG16L2","ANXA3","NFE2","POSTN","CD52","ALDH1A3","CYP27A1","GPR143","ITGA3","SNORA81","LUM","SNCG","NCF1","RNU5D-1","WNT5A","XIRP2","STC2","RNU11"
"28","C3","SNORA6","ADAMTS5","HLA-DQA1","LAMA4","NCF1","FBLIM1","APOC1","CDH11","HLA-DRB1","PTHLH","SNORD10","IFI44L","TNFRSF6B","SNORA54","TPM2","NRK","CLEC7A","SNORA81","TMEM158","TNNI1","COL6A2","NELL2"
"29","SEPP1","SNORD97","ENAH","SNORD10","HHIP","S100A9","SLPI","CDK1","COL5A1","C1ORF228","IL1A","SLC37A2","MFSD12","MFAP2","SNORA14B","SYNPO2","GRID2","SNORA20","SNORA5C","CDH11","ENO3","DCN","SNORD15B"
"30","DCN","RNU11","IGFBP5","WDFY4","MYCT1","PTGDR2","ALDH1A3","SPTA1","PCDH18","MEIS1","MDFI","LIPA","ERBB3","FXYD2","SNORD15A","COL5A2","ELMOD1","MGAM","CCL5","SERPINE1","MYH2","IL13RA2","SNORD10"
"31","MFAP5","SNORD15B","ITGA11","SNORD97","STAB1","SNORD10","F3","NGFRAP1","COL5A2","LAT2","AREG","A2M","RAB38","CTGF","SNORA47","DCN","KCNAB1","SNORD10","SNORA7B","ITGA1","CKMT2","CDH11","SNORA5A"
"32","AQP7","HLA-DRB1","TNFAIP6","SAMSN1","CTGF","FCGR2C","JUP","CA1","FBLN1","HLA-DMA","PCSK9","SNORD97","TBC1D16","CD70","AIF1","CAV1","NEFL","CMTM2","KLRD1","COL5A1","RYR1","IL33","CD2"
"33","MGP","P2RX5","MEST","AMICA1","SERPINE1","SNORD15B","S100A16","CA2","C1R","HBG2","PLEK2","S100A9","MX1","UGT2B7","LST1","KCNE4","DLG2","SNORA49","SCARNA3","PLAU","ATP2A1","COL12A1","CD6"
"34","GHR","SNORA54","BMPER","SNORD15B","MCAM","NCF2","ITGA3","CD36","EMP1","ARHGDIB","ANXA8L1","SNORD15B","ITGB8","COL3A1","HLA-DRA","ALDH1A1","CDH18","SNORD97","SNORD97","TMEM200A","MYF6","ITGBL1","SNORA81"
"35","RARRES2","SNORD94","ISLR","RNU5F-1","SEMA6B","SNORD97","AREG","SYNGR1","IGFBP6","NHP2L1","GJB3","NCF2","L1CAM","COL18A1","FPR1","DES","ATP1B1","SNORD22","SNORA65","CLMP","ANKRD23","LTBP1","SNORA13"
"36","DPT","NCF1","LAMA4","SNORA54","PCDH1","SNORD22","DKK3","CPVL","FBLN5","HBB","CSTA","HAVCR2","OAS2","COL4A1","FCAR","GREM1","INA","SNORD89","SNORA84","MMP2","S100A1","FKBP10","SNORA71A"
"37","LUM","HLA-DRA","FBN1","IL21R","CAV1","EMR3","CDH1","HBE1","THY1","HSH2D","ANXA8","IFI30","BAMBI","COL4A2","SNORA34","TGFBI","RTN1","SNORA52","SNORA34","COL6A2","H19","GJA1","SNORA52"
"38","G0S2","SNORA55","GPC6","IL4I1","NTN4","GPR97","ITGB6","RNASE1","BGN","HLA-DPA1","CLCA2","FGR","IFI27","EDIL3","HLA-DQB1","MT1L","SLC12A5","IL1R2","KLRB1","SNORA23","MYBPC2","PTX3","SNORA84"
"39","SAA1","EML6","PITX1","SNORA49","ICAM2","CD97","HIST2H2AA3","WBP5","MRC2","KIT","TRIM29","TYROBP","APOD","IGFBP4","CFP","FBN1","PPP1R1B","SNORD15B","SNORA15","IL6","PDK4","DDR2","SNORA34"
"40","CHRDL1","CD74","MXRA8","TMEM176A","TINAGL1","SNORA49","TINAGL1","SGOL1","ISLR","PLEK","DMKN","MS4A7","IRF4","PLK2","SERPINB2","CCND1","PRKCG","CYP4F3","SNORA14B","PLAT","ACTN2","EFEMP1","CAMK4"
"41","IGFBP5","SNORA7A","C1S","C1QB","FAM69B","MYO1F","FAT1","STMN1","KRT18","ITM2A","S100A9","CHIT1","PRUNE2","CLDN4","SNORA74B","THBS1","GAD1","FCAR","SCARNA8","IL1B","CASQ1","GREM1","SNORA38"
"42","CPM","HLA-DPA1","LOX","C15ORF48","SDPR","SPI1","TGFA","PTPLAD1","SERPINE1","CD74","F3","SNORA54","OAS1","THY1","CPVL","COL12A1","TRPC3","SNORA38","CTSW","HMGA2","TNNI2","VCAN","SPOCK2"
"43","FZD4","SNORA52","STC2","SNORA52","PTPRB","SNORA54","HIST1H3F","EIF1AY","IGFBP3","RAB37","SERINC2","SNORA49","IGSF11","TUBB3","SNORA71D","COL6A3","TSPAN7","SNORA7A","SNORA37","ADAMTS12","CA3","DKK3","CD28"
"44","C1QA","RNU5E-1","ELN","SNORA7A","PTX3","ATP2A3","NNMT","PF4","COL12A1","IL2RG","SOX15","BCL2A1","PAX3","DPYSL3","CD14","PLOD2","SMPX","NCF2","SNORA10","FAP","FBXO32","SPOCK1","GIMAP5"
"45","C1QC","RGS1","COL6A1","NR4A3","TM4SF1","SNORA38","AGRN","KEL","FKBP10","BEX2","TP63","GM2A","HIST2H4B","EPHB2","GPR183","FKBP10","SH3GL2","SNORA71A","SNORA74B","PTGS2","OBSCN","TUBB3","RNU6ATAC"
"46","IGFBP3","HLA-DRB5","IGFBP4","SNORA61","THBS1","IL5RA","RPPH1","MAD2L1","CLEC11A","NCF4","SLC7A5","TMEM176B","DUSP4","MCAM","CTSS","NNMT","ITPR1","SELL","ZAP70","TAGLN","UCP3","COL14A1","SNORA74B"
"47","AOC3","SNORA9","DDR2","SNORD89","HSPG2","SIGLEC8","FSCN1","SPC25","LOXL1","GMFG","ARTN","C5AR1","MLPH","COL8A1","CYBB","FAP","SLC24A2","GPR97","MYOM2","MXRA8","SYNPO2","MXRA8","SNORA7B"
"48","CLU","SNORA49","CLMP","CCL5","RAPGEF5","SNORD94","MDFI","MLLT3","PDGFRB","UCP2","GJB5","FCER1G","GPNMB","DCN","SNORA52","LMO7","S100B","SNORA61","RNU5F-1","MME","TRIM54","POSTN","SNORA74A"
"49","SERPINF1","PNOC","ENPP2","KYNU","RHOJ","ITGAM","SLC2A1","CCNB2","DDR2","SYNGR1","DSP","CTSS","TSPAN10","FAT1","AQP9","ABI3BP","SPOCK3","ITGAX","S1PR5","F3","HFE2","TGFBI","BCL11B"
"50","PPP1R1A","FAM46C","ADAMTSL1","SNORA74A","KRT18","LYZ","TUBB3","ADD2","CAV1","SEP15","S100A16","SNORD22","GPM6B","FLNC","HLA-DRB1","PPP1R3C","NDRG4","SNORD94","SNORD15A","DCN","PDLIM3","MRC2","SCARNA22"
"51","COL6A3","SCARNA15","HMOX1","ALOX15","BCL6B","SORL1","AP1M2","CDKN3","SERPINH1","SERPINB1","SAA1","CTSH","ISG15","GALNT14","BCL2A1","CTGF","HOPX","FFAR2","GZMM","TGFBI","NDRG2","IGFBP6","SNORA9"
"52","MCAM","SNORA7B","CP","SNORD22","GNG11","CSF2RB","EPHA2","HMGB2","ADM","LAIR1","KLK5","HLA-DMB","ABCC2","NNMT","SNORA71A","HAS1","BEX1","PROK2","SNORA75","FBN2","CORO6","CCND1","SELL"
"53","LAMA4","SNORA81","TPD52L1","TNFRSF11A","FAM43A","COL9A2","DSG2","APOBEC3B","STC2","CRHBP","KRT7","ITGAX","CMPK2","AMIGO2","TYROBP","ANGPTL4","LRRN3","MYO1F","SNORA55","CHI3L1","DUSP13","NT5E","SNORA6"
"54","CRYAB","SNORA37","COL5A1","CYTIP","COL4A1","LFNG","PTPRF","GNB2L1","TWIST2","EAF2","FERMT1","ITGB2","SDC3","HIST2H2AA3","CD83","MXRA8","GPM6A","AMICA1","SAMD3","GDF15","PGAM2","PRRX1","SNORD15A"
"55","CEBPA","CD38","FGF1","CRIP1","GIMAP4","CCDC88B","TMEM132A","ACN9","IGFBP4","HBA2","KRT18","SNORA52","KYNU","REC8","SNORD94","ACTC1","C1ORF61","SNORA7B","CX3CR1","FBN1","MYO18B","PCOLCE2","SNORA37"
"56","COL3A1","CD52","ADAMTS1","HLA-DRA","LDB2","AZU1","SPTBN2","ICAM4","FGF7","ERG","TINAGL1","RNU11","PLXNC1","DCBLD2","NCF2","PRUNE2","OMG","SNORA84","SNORA13","FIBIN","MUSTN1","SERPINH1","GIMAP7"
"57","SERPING1","TNFRSF13C","GJA1","RNU11","IFI27","ITGAX","COL4A2","UBE2T","DKK3","CRYGD","S100A8","GNB2L1","LAMA1","CDH2","SNORA80B","COL4A1","NME7","HCK","SH2D1B","FKBP10","HRC","CXCL12","SNORA5C"
"58","PRKAR2B","SNORA65","ANTXR1","TYROBP","TGM2","PLCB2","COL4A1","ANK1","NNMT","HLA-DPB1","FAM83A","SNORA74A","GAS7","VCAN","SNORA7A","FSTL1","MT3","SORL1","SNORA49","CDH2","PPP1R27","FLNC","SNORA71D"
"59","MRC1","HLA-DQB1","STEAP4","LYZ","HSD17B2","ARHGAP4","MET","HPGD","TMEM119","CD53","GNA15","SNORA81","C10ORF90","CRISPLD2","CSTA","SDPR","KCTD8","BCL2A1","SNORA11B","VASN","APOD","COL5A1","SNORA10"
"60","FHL1","SNORA34","LMO7","SNORD94","FLT4","S1PR4","CAV1","APOBEC3C","RPPH1","HPGDS","MMP9","SNORA34","CDK2","SHISA2","CCL3","COL6A2","LPL","SNORA71D","CD7","TPBG","ACACB","MME","SNORA65"
"61","PTGER3","RNU6ATAC","FGF7","RGS1","HIST2H2AA3","ITGB2","DDR1","NHP2L1","SPON2","SELK","CBLC","C1QA","SNCA","KIRREL","SELL","MRC2","NEFH","SNORA37","SNORA52","MASP1","IP6K3","COL5A2","SNORA47"
"62","C1S","SNORA74A","SMOC2","SNORA74B","GIMAP6","SNORA7A","SERPINE1","PRDX2","VASN","ARHGAP15","RHOD","ITGAM","USP18","FBLIM1","CD52","MMP2","SEZ6L","LST1","SNORA71D","FN1","STAC3","FAP","SNORA80B"
"63","COL6A2","GNB2L1","WNT5A","FSCN1","PPP1R16B","HCK","OCIAD2","AURKB","TPM2","MYB","IL1B","CD14","TRIM63","S100A16","HLA-DRB5","IGFBP5","SLC4A10","LRRK2","SNORA38","COL5A2","FHL1","AKR1C1","CD52"
"64","MS4A6A","SNORA38B","FSTL1","SNORA81","S100A16","DOK2","CCND1","SELT","THBS1","BTK","CD24","SNORA61","VEPH1","RPPH1","APOBEC3A","POSTN","GABBR2","C5AR1","SNORA28","HIST2H2AA3","SRL","LRP1","SNORA14B"
"65","PPARG","SNORA10","COL6A2","PDCD1LG2","ARHGAP29","FFAR2","SPINT2","PTTG1","HIST2H2AA3","STMN1","LAD1","PLEK","MX2","SPP1","PLEK","PRSS23","CNTN3","SNORA81","CD160","SERPINH1","ASB2","HIST2H2AA3","MAL"
"66","AOX1","SNORA14B","C1R","GNB2L1","FZD4","EMR2","ST14","NUSAP1","TAGLN","MEST","CITED4","NPL","HIST2H2AA3","FSCN1","SCARNA22","FLNC","SCG5","LILRB3","FCGR3A","PITX1","SMTNL2","NID2","CD5"
"67","VWF","SNORA74B","TGFBI","SNORA71A","C10ORF10","SNORA71A","ID1","CKS2","PRRX1","VAMP8","FSCN1","MS4A4A","TRIM2","CPXM1","MPEG1","HIST2H2AA3","NRCAM","ALOX5","IL2RB","PDGFRA","TRDN","SERPINE2","GNB2L1"
"68","GYG2","HLA-DMA","PRSS23","CLEC4A","FBLIM1","SNORA52","PLAU","UTP11L","GREM1","LAPTM5","IRF6","CCL2","IFI6","UCHL1","GNB2L1","FRMD6","KLK8","SCARNA22","CST7","TNFRSF11B","ADPRHL1","SPON2","CD3G"
"69","S100A9","SEPT1","COL5A2","MREG","PECAM1","FGR","COL1A1","DLGAP5","RCN3","BIN2","COL7A1","TFEC","LEF1","MT1L","SNORA7B","S100A16","ATP2B2","FCGR3A","TBX21","DDR2","ATP1A2","SERPINE1","CD48"
"70","CALCRL","MIR650","FN1","CSTA","HIST1H4L","SYTL1","DMKN","SEP15","ID1","LCP1","G0S2","SLC15A3","MCAM","IGFBP5","SNORA6","RCN3","NPTX1","ALPL","SNORA74A","COL12A1","HSPB7","TPM2","SNORA21"
"71","COL1A2","RNU5F-1","RIPK3","SNORA37","FSCN1","UNC13D","TGFBI","HRSP12","FSTL1","SELT","SPINT1","SNORA7A","GCNT2","RGS4","RNU6ATAC","ASB5","SCG3","CLEC4E","SNORA23","ACTA2","RRAD","MYLK","SCARNA1"
"72","STAB1","FCRLA","PPP1R3C","HOMER2","COL4A2","P2RY2","PXDN","HBQ1","MFAP4","LGALS9","GJB6","CCR1","NNMT","LAMC2","FGR","HTRA1","GOLT1A","SNORA38B","FCRL6","ARMC9","DDN","TGM2","SNORA71C"
"73","NNMT","SNORA13","AKR1C2","FGD2","S1PR1","APOBR","S100A14","CDCA3","PRKCDBP","NRD1","IL20RB","HLA-DRB5","NQO1","JUP","G0S2","COL6A1","SERPINI1","MEFV","SNORA21","GJA1","MYOM3","TAGLN","CD96"
"74","A2M","SNORA80B","SERPINE2","MYO1G","BACE2","CD52","RHOD","AMHR2","LOX","SNHG15","ZBED2","CSTA","HIST1H2BO","PXDN","FCER1G","SPARC","GRIK1","FGR","SNORA60","PTX3","SPTB","RCN3","SCARNA3"
"75","PCK1","SELM","NNMT","CD40","FAM124B","PSTPIP1","ELF3","SELK","PTRF","PTPRC","ANXA3","SPI1","CXCL1","MYL9","SNORA21","CALD1","ENPP5","P2RY13","SCARNA23","COL4A1","MYOM1","FSTL1","SCARNA6"
"76","AKR1C2","HLA-DQA2","MXRA5","SNORA7B","GJA1","NCF4","PLK2","SKA3","UCHL1","P2RX1","FST","SNORA37","TM4SF1","CTHRC1","MNDA","SFRP4","CPE","IL18RAP","SNORA61","ACTG2","TPM2","CFH","TC2N"
"77","FSTL1","FCRL2","CTGF","HLA-DRB1","RASGRP3","IL1RL1","CLDN1","SLMO2","ASS1","SERPING1","PLCH2","HLA-DRA","IFIT3","AXL","IFI30","MXRA7","PSD2","ARHGAP9","MATK","KRT19","LDB3","RND3","CXCR4"
"78","TIMP4","SNORA71D","FAP","SNORA34","RPPH1","ARHGAP9","AJUBA","SELENBP1","FSCN1","PTPN6","DSG3","SNORD15A","SLC1A4","LOXL2","SNORA38B","RPL36A-HNRNPH2","COX7A1","SPI1","SNORA2A","UCHL1","GPD1","NNMT","RHOH"
"79","EFEMP1","SNORA15","CDH11","A2M","MFNG","LST1","UCHL1","HMGN5","CLU","SPN","PERP","LAPTM5","PLEKHA5","COL7A1","HLA-DPA1","P4HA2","STMN4","SNORA10","SNORA14A","PXDN","SYNPO","HGF","SNORD17"
"80","CDO1","SNORD15A","SEPP1","C1QA","DKK3","C10ORF128","FKBP10","AKR1C3","NT5E","PTPN7","HIST2H2AA3","HCST","CTSK","NKAIN4","CD86","SGCA","ANO4","SNORA74B","IL18RAP","FGF7","FABP3","PDE5A","CYTIP"
"81","COL4A1","CXCR4","CLU","RASSF4","CLDN11","PARVG","KRT6A","CKS1B","CLMP","GAPT","ITGA3","LST1","NHSL1","FKBP10","AMICA1","SERPINH1","TAC1","RGS2","CCL4","MEST","PLN","HEPH","SNORA28"
"82","MAOA","ISG20","FKBP10","HLA-DPA1","ESAM","FGD3","SERPINH1","EXOSC8","NID2","TBXAS1","TGFA","S100A8","CDH1","DCDC2","LGALS2","MYH3","NRXN1","SNORA80B","PTPRCAP","CCND1","SGCA","PRSS23","THEMIS"
"83","MMP2","LTB","NT5E","IDO1","PTRF","ARHGAP30","PTRF","ASF1A","PXDN","HCST","CKMT1B","MATK","BCL2A1","MRC2","CD36","TNFRSF11B","FNDC5","NAMPT","SCARNA22","LOXL2","TMOD4","KANK2","RASGRP2"
"84","MAP1B","ADAM28","PTX3","IL10RA","PXDN","SNORD17","HIST1H3C","TOP2A","VCAN","CD244","ITGA6","SLAMF8","HES6","UCP2","SCARNA8","UCHL1","FSTL4","PTPRC","LCK","FRMD6","TBX15","TFPI2","TRAF3IP3"
"85","MFAP4","SNORA84","COMP","PLEK","ID1","TYROBP","HIST1H4L","UCP2","SERPING1","SORL1","TMEM54","FCGR1A","TUBB3","SPINT2","SPI1","NT5E","ST8SIA3","SCARNA3","SNORA71A","MMP1","FXYD1","PTRF","SNORA23"
"86","HIST2H2AA3","HSH2D","AKR1C1","HCK","TEK","CEBPE","LAMB1","NRD1","CALD1","FCER1G","CAV1","MNDA","GMPR","SERPINH1","MS4A7","HAS2","CDS1","SNORA21","HOPX","FLT1","HSPB8","LAMB1","CD27"
"87","ID1","SNORA21","HIST2H2AA3","LCP1","CXORF36","SNORA74A","PLS3","MND1","ACTA2","CD33","FAM83H","CLEC7A","PAG1","MDK","CD93","COL5A1","TRIM9","FAM65B","RNU4ATAC","VCAN","MYOM2","P4HA2","PTPRC"
"88","S100B","ATP2A3","FAT1","LSP1","DOCK9","DEFA4","FSTL1","CHAC2","KANK2","FXYD5","PLAU","HCK","RPPH1","TGFBI","SNORA9","CAV2","RGS8","MMP9","KLRC1","COL4A2","FLNC","ADH1B","SEPT1"
"89","SVEP1","CD37","NFATC4","DUSP5","PLS3","TBC1D10C","IGFBP3","ESCO2","SPARC","PTPLAD1","C16ORF74","CD53","HIST1H2BM","HSPG2","FCGR2A","CHRNA1","KLHL1","GCA","NCR1","DKK3","SPARCL1","CALD1","FYB"
"90","CAV1","LY9","TM4SF1","SNORA47","AKAP12","SNORA81","HIST2H3D","SLC40A1","OLFML3","PARVG","JUP","MRC1","CABLES1","CYR61","PTPRC","IGFBP7","FABP7","TYROBP","SNORA66","NNMT","MYOT","CAV1","SNORA75"
"91","C10ORF10","SNORA38","MEG3","HSD11B1","ERG","HMHA1","VCAN","PIP5K1B","SRPX","DPPA4","FAT1","LCP1","HIST1H3F","FHL2","MYO1F","COL4A2","FGL2","EMR3","SNORA41","PRRX1","PPP1R1A","IGFBP4","PLAC8"
"92","FBLN2","SEP15","RPPH1","CD74","SCARF1","SNORA7B","EHF","HMMR","FRMD6","EVI2B","DKK3","ST14","CSPG4","F2R","VCAN","TM4SF1","DPP10","CD97","SNORA79","TRPA1","MT1X","ITGB5","TNFRSF25"
"93","RPPH1","PIM2","PTRF","SLC15A3","FN1","SEMA4D","RPL36A-HNRNPH2","MPP1","AXL","AMICA1","EFNB1","HLA-DRB1","KCNAB2","MAP1B","SNORA71C","PTRF","NCAM1","SNORA47","PLAC8","CXCL1","CRYAB","OLFML3","FAM65B"
"94","F13A1","SCARNA3","PDE1A","EHF","SNORA23","PLD4","EFEMP1","CCDC23","PTK7","NPR3","FEZ1","SNORA10","LGALS3BP","TUBB2B","EREG","MYLPF","CAMK2B","NCF4","KLRC4-KLRK1","MYO10","SLC2A4","GPNMB","TMC8"
"95","IGFBP6","TBC1D10C","FRMD6","CLIC2","PDE2A","ELANE","FRMD6","HJURP","COL4A2","KIAA0101","CKMT1A","LSP1","SHC4","COL6A1","ITGB2","SRGN","GRM1","SNORA9","SNORA80B","PTRF","MYPN","FAM114A1","LAT"
"96","EMP1","CD53","LOXL3","GPR183","DYSF","GPR114","CALD1","GINS2","CTHRC1","HBA1","MCAM","SNORA71D","OAS3","DLC1","AOAH","TNNI1","NELL2","LILRA5","SNORA71C","CALD1","RPL3L","SLC14A1","CLEC2D"
"97","SRPX","SNORA61","SEMA3A","AQP9","LAMB1","CD300LF","PTK7","CENPW","TUBB3","XIST","RPL36A-HNRNPH2","SNORD94","INPP4B","EPHA2","LAPTM5","SERPINE2","THY1","G0S2","SNORA78","CCL2","PKIA","FAT1","SNORA78"
"98","COL6A1","BLK","NRN1","N4BP2L1","HYAL2","SELL","GJA1","CR1L","FAM114A1","ATF7IP2","RAB38","VSIG4","ST6GALNAC2","CLDN1","CD48","FAT1","ZNF385D","PADI4","PYHIN1","MMP14","SCN1B","HSPB6","SCARNA15"
"99","ITIH5","SP140","SERPINH1","PALLD","ALDH1A1","SNORA71D","GJB3","BTK","PRSS23","SLMO2","SMTN","LAIR1","HIST1H3C","LOXL1","IL10RA","LOX","C14ORF37","CSF2RB","GPR56","PDGFRB","ABLIM2","PPP1R3C","TBC1D10C"
"100","COL4A2","CYTIP","ANGPTL5","BCL2A1","FGD5","RHOH","FAM129B","CDCA8","MGST1","HCLS1","TRIB3","PILRA","BCAN","PTK7","SNORA38","CD36","GRIA3","MXD1","SNORD17","RND3","DCN","SRPX","ITGB7"
"101","LYVE1","HLA-DPB1","BARX1","RAMP1","CRIM1","ACAP1","HIST2H3C","FTSJ2","MME","OCIAD2","THBS2","SNORA71A","CYP27A1","TNFRSF12A","PILRA","TNNC1","KRT222","AIF1","CD300A","RPPH1","SYNM","MMP14","ACAP1"
